time,instrumentID,lastPrice,openInterest,turnOver,totalVol,bp1,bv1,sp1,sv1,avgPrice,openPrice,preSettlePrice,preOpenInterest,preClosePrice,upperLimitPrice,lowerLimitPrice
20210120 10:37:28.384,IC2102,6478.600000,60682.000000,31877976200.000000,24754,6478.400000,1,6479.200000,3,1287790.910560,6409.600000,6407.400000,68727.000000,6410.800000,7048.000000,5766.800000
20210120 10:37:29.049,IC2102,6478.400000,60683.000000,31879271880.000000,24755,6478.000000,2,6479.200000,2,1287791.229247
20210120 10:37:29.848,IC2102,6478.400000,60683.000000,31879271880.000000,24755,6478.000000,4,6479.000000,1,1287791.229247
20210120 10:37:30.091,IC2102,6478.400000,60683.000000,31879271880.000000,24755,6478.000000,4,6479.200000,2,1287791.229247
20210120 10:37:30.423,IC2102,6478.000000,60683.000000,31880567480.000000,24756,6478.000000,3,6479.200000,2,1287791.544676
20210120 10:37:30.598,IC2102,6479.200000,60684.000000,31881863320.000000,24757,6478.400000,5,6479.200000,1,1287791.869774
20210120 10:37:31.280,IC2102,6479.200000,60684.000000,31884455000.000000,24759,6479.200000,6,6480.200000,2,1287792.519892
20210120 10:37:31.543,IC2102,6479.200000,60684.000000,31884455000.000000,24759,6479.200000,2,6480.200000,2,1287792.519892
20210120 10:37:32.177,IC2102,6479.200000,60684.000000,31884455000.000000,24759,6479.200000,2,6480.200000,2,1287792.519892
20210120 10:37:32.576,IC2102,6479.200000,60684.000000,31884455000.000000,24759,6479.200000,3,6480.200000,2,1287792.519892
20210120 10:37:33.036,IC2102,6480.200000,60685.000000,31887047080.000000,24761,6480.200000,2,6480.400000,3,1287793.186059
20210120 10:37:33.552,IC2102,6480.400000,60685.000000,31892231320.000000,24765,6479.200000,2,6480.200000,2,1287794.521300
20210120 10:37:34.059,IC2102,6479.400000,60685.000000,31893527200.000000,24766,6479.600000,1,6480.200000,1,1287794.847775
20210120 10:37:34.561,IC2102,6479.400000,60685.000000,31893527200.000000,24766,6479.600000,1,6480.200000,1,1287794.847775
20210120 10:37:35.052,IC2102,6479.400000,60686.000000,31894823080.000000,24767,6479.400000,1,6480.200000,1,1287795.174224
20210120 10:37:35.601,IC2102,6479.400000,60686.000000,31894823080.000000,24767,6479.400000,1,6480.000000,1,1287795.174224
20210120 10:37:36.010,IC2102,6479.400000,60685.000000,31896118960.000000,24768,6479.200000,2,6480.000000,1,1287795.500646
20210120 10:37:37.043,IC2102,6479.800000,60684.000000,31897414920.000000,24769,6479.200000,2,6480.000000,1,1287795.830272
20210120 10:37:37.552,IC2102,6479.200000,60685.000000,31900006600.000000,24771,6478.600000,1,6480.000000,1,1287796.479755
20210120 10:37:38.029,IC2102,6479.200000,60685.000000,31900006600.000000,24771,6478.600000,1,6479.200000,4,1287796.479755
20210120 10:37:38.529,IC2102,6478.600000,60683.000000,31903893760.000000,24774,6478.400000,5,6478.600000,2,1287797.439251
20210120 10:37:39.029,IC2102,6478.400000,60678.000000,31911667840.000000,24780,6478.000000,2,6478.400000,4,1287799.347861
20210120 10:37:39.562,IC2102,6478.000000,60680.000000,31915554640.000000,24783,6476.600000,1,6477.800000,4,1287800.292136
20210120 10:37:40.053,IC2102,6476.600000,60679.000000,31918145560.000000,24785,6476.800000,1,6477.800000,2,1287800.910228
20210120 10:37:40.563,IC2102,6476.600000,60679.000000,31918145560.000000,24785,6477.000000,1,6477.800000,2,1287800.910228
20210120 10:37:41.071,IC2102,6477.000000,60679.000000,31919440960.000000,24786,6476.800000,2,6477.800000,2,1287801.216816
20210120 10:37:41.596,IC2102,6478.400000,60676.000000,31927214320.000000,24792,6476.800000,1,6478.600000,3,1287803.094547
20210120 10:37:42.030,IC2102,6478.400000,60676.000000,31927214320.000000,24792,6476.800000,2,6478.600000,4,1287803.094547
20210120 10:37:42.516,IC2102,6478.400000,60676.000000,31927214320.000000,24792,6477.000000,1,6478.600000,4,1287803.094547
20210120 10:37:43.096,IC2102,6478.400000,60676.000000,31927214320.000000,24792,6477.800000,1,6478.600000,4,1287803.094547
20210120 10:37:43.619,IC2102,6478.200000,60676.000000,31928509960.000000,24793,6478.000000,1,6478.600000,3,1287803.410640
20210120 10:37:44.049,IC2102,6477.200000,60676.000000,31929805400.000000,24794,6477.000000,2,6477.200000,1,1287803.718642
20210120 10:37:44.655,IC2102,6477.000000,60676.000000,31933691560.000000,24797,6475.200000,1,6477.200000,1,1287804.636045
20210120 10:37:45.039,IC2102,6477.000000,60676.000000,31933691560.000000,24797,6475.600000,1,6477.200000,2,1287804.636045
20210120 10:37:45.532,IC2102,6477.000000,60676.000000,31934986960.000000,24798,6475.800000,2,6477.200000,1,1287804.942334
20210120 10:37:46.058,IC2102,6476.000000,60677.000000,31936282160.000000,24799,6476.000000,1,6477.200000,1,1287805.240534
20210120 10:37:46.540,IC2102,6476.000000,60677.000000,31936282160.000000,24799,6476.000000,4,6477.000000,3,1287805.240534
20210120 10:37:47.091,IC2102,6476.000000,60677.000000,31941462960.000000,24803,6476.200000,1,6477.000000,1,1287806.433093
20210120 10:37:47.607,IC2102,6476.000000,60676.000000,31942758160.000000,24804,6476.400000,1,6476.600000,1,1287806.731172
20210120 10:37:48.075,IC2102,6476.000000,60677.000000,31945348640.000000,24806,6475.800000,1,6476.200000,5,1287807.330485
20210120 10:37:48.565,IC2102,6475.800000,60676.000000,31946643800.000000,24807,6474.200000,1,6475.400000,1,1287807.626880
20210120 10:37:49.025,IC2102,6475.800000,60676.000000,31946643800.000000,24807,6474.600000,2,6475.800000,1,1287807.626880
