代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元)
SH000136,2004-01-02,2738.8400,2746.2000,2735.9700,2736.5200,137740400,1236905984.00
SH000136,2004-01-05,2717.6500,2736.7700,2715.2800,2736.7100,227329600,1985508992.00
SH000136,2004-01-06,2731.0700,2735.7800,2717.4600,2735.1800,244172600,2123904000.00
SH000136,2004-01-07,2728.2700,2757.6200,2728.2700,2749.7200,240083100,2037858048.00
SH000136,2004-01-08,2752.1100,2804.6700,2752.1100,2801.8700,241802400,2132680960.00
SH000136,2004-01-09,2810.0500,2842.5200,2806.2900,2806.6400,276150400,2428939008.00
SH000136,2004-01-12,2819.1100,2840.4100,2794.4400,2840.4100,194012800,1800562944.00
SH000136,2004-01-13,2844.7000,2869.1600,2844.7000,2865.6800,266671200,2283511040.00
SH000136,2004-01-14,2869.9900,2873.0700,2843.0900,2871.5700,192371200,1629629056.00
SH000136,2004-01-15,2860.4200,2862.0800,2844.1200,2845.3800,171370000,1527240960.00
SH000136,2004-01-16,2845.0200,2849.9100,2828.7300,2842.3300,151805900,1313113984.00
SH000136,2004-01-29,2844.4600,2901.1400,2844.4600,2901.1400,146084400,1342626048.00
SH000136,2004-01-30,2899.7800,2921.8200,2880.6300,2880.9500,186663600,1662178944.00
SH000136,2004-02-02,2915.5000,2928.0100,2875.3200,2928.0100,256249600,2454708992.00
SH000136,2004-02-03,2928.8600,2987.4600,2921.2800,2972.6200,246686800,2148190976.00
SH000136,2004-02-04,2984.5900,3032.4000,2977.1900,3032.4000,300228700,2702621952.00
SH000136,2004-02-05,3031.5400,3090.7000,3031.5400,3090.7000,322662200,2868563968.00
SH000136,2004-02-06,3074.3700,3136.9600,3074.3700,3088.6900,295106100,2647810048.00
SH000136,2004-02-09,3092.4200,3117.7300,3071.6500,3092.2200,230561700,2148398080.00
SH000136,2004-02-10,3090.8400,3104.3500,3073.0000,3085.9500,285850600,2579667968.00
SH000136,2004-02-11,3087.7100,3087.7100,3051.3400,3068.5200,224069600,1999136000.00
SH000136,2004-02-12,3075.3800,3103.1900,3075.3800,3097.6800,267346000,2488037120.00
SH000136,2004-02-13,3105.6500,3107.9100,3074.6800,3078.3600,221058700,2030471040.00
SH000136,2004-02-16,3083.1100,3129.5400,3083.1100,3129.5400,183847800,1779345024.00
SH000136,2004-02-17,3137.5300,3151.9400,3132.3000,3151.9400,269596000,2577527040.00
SH000136,2004-02-18,3153.1800,3169.7500,3141.4900,3169.7500,264470300,2551607040.00
SH000136,2004-02-19,3176.3200,3176.3200,3143.6800,3158.6100,247690700,2323200000.00
SH000136,2004-02-20,3159.2000,3160.2700,3140.3500,3156.3500,222373100,2099712000.00
SH000136,2004-02-23,3160.8500,3160.8500,3116.1000,3117.6900,231163800,2176386048.00
SH000136,2004-02-24,3105.8800,3105.8800,3059.9000,3087.4800,230284100,2120832000.00
SH000136,2004-02-25,3099.3900,3109.0900,3027.8700,3030.3600,211259600,1938545024.00
SH000136,2004-02-26,3029.6000,3029.6000,2975.5500,2996.8800,214678700,1887068032.00
SH000136,2004-02-27,3002.4100,3039.7100,2997.1700,3039.7100,199735600,1903410048.00
SH000136,2004-03-01,3028.5400,3074.2600,3015.9200,3074.2600,200549200,1877346048.00
SH000136,2004-03-02,3076.8200,3096.2100,3069.0500,3084.9200,234705900,2306913024.00
SH000136,2004-03-03,3088.5600,3088.5600,3030.7400,3040.9100,188040000,1753323008.00
SH000136,2004-03-04,3046.3500,3061.2100,3020.1100,3061.2100,159173600,1477414016.00
SH000136,2004-03-05,3068.7200,3073.7900,3051.0200,3051.0500,168768300,1488707968.00
SH000136,2004-03-08,3036.8600,3045.7200,2980.7500,2982.5300,172091100,1644743040.00
SH000136,2004-03-09,2980.5900,2998.7700,2961.6000,2963.2500,137391000,1299960960.00
SH000136,2004-03-10,2959.2500,3015.2400,2959.2500,3014.8300,140771200,1391342976.00
SH000136,2004-03-11,3008.3600,3049.1400,3008.3600,3044.0300,191893500,2078269952.00
SH000136,2004-03-12,3046.0500,3049.4300,3023.1100,3049.4100,172810700,1870205056.00
SH000136,2004-03-15,3062.8600,3093.8200,3062.8600,3091.7100,244178800,2536560896.00
SH000136,2004-03-16,3095.0900,3118.3000,3081.8800,3118.3000,212120700,2197485056.00
SH000136,2004-03-17,3113.1700,3131.3300,3102.5100,3121.7300,183151300,1906558976.00
SH000136,2004-03-18,3121.5500,3128.2000,3078.4600,3084.2500,242853200,2417186048.00
SH000136,2004-03-19,3091.3700,3128.3500,3073.2000,3128.3500,195309600,1968834944.00
SH000136,2004-03-22,3121.4900,3137.0200,3119.3600,3134.7300,164401200,1613133056.00
SH000136,2004-03-23,3119.8800,3124.7500,3102.2900,3117.5600,157591200,1603908992.00
SH000136,2004-03-24,3111.8600,3127.1700,3097.0900,3110.9000,156801600,1630812032.00
SH000136,2004-03-25,3119.3400,3121.5200,3095.1500,3108.6000,136884400,1442386048.00
SH000136,2004-03-26,3110.4800,3110.4800,3090.0100,3098.8800,138112400,1511832960.00
SH000136,2004-03-29,3094.4900,3104.8600,3077.3700,3077.9900,140295200,1445895040.00
SH000136,2004-03-30,3084.0000,3084.8400,3060.6200,3083.4600,115954000,1183608064.00
SH000136,2004-03-31,3092.3900,3113.0400,3080.5300,3112.9100,125611200,1254732032.00
SH000136,2004-04-01,3110.8300,3121.9900,3108.3200,3115.4200,149775200,1555804032.00
SH000136,2004-04-02,3121.6800,3134.9700,3110.7200,3134.9700,170354400,1790409984.00
SH000136,2004-04-05,3126.1500,3132.8200,3110.5900,3132.8200,188752400,1955016960.00
SH000136,2004-04-06,3129.4500,3147.6600,3116.6100,3147.6600,210571200,2096278016.00
SH000136,2004-04-07,3146.6300,3158.7400,3138.8000,3157.8400,245742300,2574679040.00
SH000136,2004-04-08,3154.5700,3154.5700,3132.3200,3136.3600,189388400,1999696000.00
SH000136,2004-04-09,3138.8800,3138.8800,3064.2000,3071.3700,189259900,2041570048.00
SH000136,2004-04-12,3059.9300,3072.8800,3046.0700,3060.4600,145872400,1558610048.00
SH000136,2004-04-13,3056.4900,3056.4900,3010.3200,3014.3500,158468400,1604894976.00
SH000136,2004-04-14,3006.3800,3006.3800,2936.7000,2949.5200,168262400,1643388032.00
SH000136,2004-04-15,2947.6400,2947.6400,2891.4200,2900.5300,140853600,1335056000.00
SH000136,2004-04-16,2903.7600,2917.1700,2847.7200,2917.1700,132650800,1170466944.00
SH000136,2004-04-19,2909.3300,2917.5500,2879.8500,2884.2700,119339800,1144915968.00
SH000136,2004-04-20,2871.2800,2881.6700,2841.6700,2848.8600,145442800,1217248000.00
SH000136,2004-04-21,2839.6600,2848.5800,2790.6700,2813.5300,276998600,2017277952.00
SH000136,2004-04-22,2816.3200,2816.3200,2768.8300,2788.8900,165921500,1473138944.00
SH000136,2004-04-23,2754.4100,2766.7600,2732.8200,2766.7600,183604400,1444737024.00
SH000136,2004-04-26,2749.8300,2763.5900,2726.1800,2738.1500,123661000,965780992.00
SH000136,2004-04-27,2732.7200,2732.7200,2674.3500,2674.3500,160411000,1313857024.00
SH000136,2004-04-28,2666.1000,2679.0600,2628.9600,2661.4600,139062800,1091766016.00
SH000136,2004-04-29,2649.8000,2662.9300,2619.4900,2622.4000,141488100,1238592000.00
SH000136,2004-04-30,2627.7400,2638.5100,2593.5800,2629.6400,151414000,1272418048.00
SH000136,2004-05-10,2629.2500,2629.2500,2582.7100,2590.3400,115919400,889875008.00
SH000136,2004-05-11,2578.3900,2587.4300,2560.7900,2586.0400,103956600,805907968.00
SH000136,2004-05-12,2571.2000,2625.9400,2571.2000,2625.9400,136916800,1094103040.00
SH000136,2004-05-13,2615.3500,2622.2300,2598.4100,2605.3600,108186700,896662016.00
SH000136,2004-05-14,2596.9800,2601.3200,2554.8400,2561.8100,119439400,956622976.00
SH000136,2004-05-17,2548.5900,2553.2500,2530.0900,2537.5400,90090000,704387968.00
SH000136,2004-05-18,2543.2000,2551.3000,2508.9500,2551.3000,119162300,1060123008.00
SH000136,2004-05-19,2539.1200,2575.1700,2539.1200,2560.1100,162772000,1239172992.00
SH000136,2004-05-20,2554.6500,2560.6500,2524.3500,2529.5800,125510000,959118016.00
SH000136,2004-05-21,2537.4800,2544.8700,2521.6500,2535.6100,148383200,918521024.00
SH000136,2004-05-24,2538.1300,2538.1500,2507.9900,2508.4600,95732700,674724992.00
SH000136,2004-05-25,2493.1100,2493.1100,2456.4000,2456.9400,94315000,733358016.00
SH000136,2004-05-26,2448.5200,2462.2400,2439.7900,2459.8700,93555600,629054976.00
SH000136,2004-05-27,2459.9000,2504.1000,2452.8100,2504.1000,124554600,950726976.00
SH000136,2004-05-28,2501.9100,2514.1400,2497.4400,2498.3700,98646700,667827968.00
SH000136,2004-05-31,2498.5600,2503.7400,2488.8900,2503.7400,91042600,646588032.00
SH000136,2004-06-01,2496.4000,2526.7700,2495.2900,2526.7700,119120400,948475008.00
SH000136,2004-06-02,2528.6300,2528.6300,2501.7100,2510.2700,125091200,932001024.00
SH000136,2004-06-03,2502.9500,2502.9500,2477.3500,2482.1900,147513500,932742976.00
SH000136,2004-06-04,2474.0000,2492.9000,2464.3500,2481.3600,162196600,998230016.00
SH000136,2004-06-07,2462.7300,2462.7300,2431.1100,2442.1800,100901600,693494976.00
SH000136,2004-06-08,2439.1800,2446.8600,2412.5700,2412.6400,112105200,771022976.00
