市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IC2003,2019-07-22,4595.4000,4605.4000,4460.0000,4480.0000,772.00,817.00,735702440.00,4489.2000,4646.2000,-166.2000,-157.0000
SF,IC2003,2019-07-23,4485.0000,4533.8000,4480.0000,4522.2000,1012.00,687.00,619347920.00,4520.6000,4489.2000,33.0000,31.4000
SF,IC2003,2019-07-24,4546.0000,4600.6000,4546.0000,4564.4000,1645.00,955.00,874035200.00,4561.2000,4520.6000,43.8000,40.6000
SF,IC2003,2019-07-25,4563.4000,4595.8000,4554.0000,4586.0000,1875.00,714.00,652969040.00,4573.0000,4561.2000,24.8000,11.8000
SF,IC2003,2019-07-26,4570.4000,4599.6000,4553.0000,4592.0000,2247.00,766.00,700634000.00,4588.6000,4573.0000,19.0000,15.6000
SF,IC2003,2019-07-29,4584.8000,4600.2000,4555.0000,4576.2000,2695.00,945.00,864732080.00,4575.4000,4588.6000,-12.4000,-13.2000
SF,IC2003,2019-07-30,4594.0000,4658.0000,4582.6000,4614.2000,3861.00,1782.00,1648948840.00,4616.6000,4575.4000,38.8000,41.2000
SF,IC2003,2019-07-31,4601.8000,4622.6000,4590.6000,4606.0000,4430.00,1530.00,1410478120.00,4611.2000,4616.6000,-10.6000,-5.4000
SF,IC2003,2019-08-01,4590.0000,4610.0000,4561.4000,4576.2000,4983.00,1444.00,1322055440.00,4571.8000,4611.2000,-35.0000,-39.4000
SF,IC2003,2019-08-02,4490.0000,4519.8000,4464.6000,4514.2000,5803.00,1766.00,1588373720.00,4511.4000,4571.8000,-57.6000,-60.4000
SF,IC2003,2019-08-05,4500.0000,4538.6000,4465.0000,4473.0000,6337.00,1648.00,1481537880.00,4478.2000,4511.4000,-38.4000,-33.2000
SF,IC2003,2019-08-06,4441.0000,4441.0000,4320.0000,4381.2000,7551.00,2534.00,2216257240.00,4380.6000,4478.2000,-97.0000,-97.6000
SF,IC2003,2019-08-07,4400.2000,4414.8000,4341.4000,4345.2000,7917.00,1748.00,1529719120.00,4358.4000,4380.6000,-35.4000,-22.2000
SF,IC2003,2019-08-08,4365.0000,4379.0000,4342.2000,4357.8000,8630.00,2166.00,1887768840.00,4357.0000,4358.4000,-0.6000,-1.4000
SF,IC2003,2019-08-09,4374.0000,4384.4000,4284.4000,4295.8000,8715.00,1834.00,1587192880.00,4291.4000,4357.0000,-61.2000,-65.6000
SF,IC2003,2019-08-12,4310.0000,4379.6000,4291.6000,4374.2000,9245.00,1750.00,1514142520.00,4354.4000,4291.4000,82.8000,63.0000
SF,IC2003,2019-08-13,4354.2000,4362.0000,4328.4000,4354.8000,9348.00,1609.00,1397964840.00,4341.8000,4354.4000,0.4000,-12.6000
SF,IC2003,2019-08-14,4400.0000,4438.0000,4380.0000,4383.8000,9518.00,1405.00,1238452640.00,4387.2000,4341.8000,42.0000,45.4000
SF,IC2003,2019-08-15,4317.8000,4435.0000,4303.2000,4425.6000,9894.00,1762.00,1538852600.00,4417.2000,4387.2000,38.4000,30.0000
SF,IC2003,2019-08-16,4425.6000,4475.0000,4422.6000,4435.0000,10116.00,1538.00,1367821600.00,4447.6000,4417.2000,17.8000,30.4000
SF,IC2003,2019-08-19,4486.0000,4633.2000,4486.0000,4633.2000,10813.00,2288.00,2085616960.00,4613.8000,4447.6000,185.6000,166.2000
SF,IC2003,2019-08-20,4633.2000,4673.6000,4613.2000,4615.4000,10776.00,1942.00,1802702280.00,4624.6000,4613.8000,1.6000,10.8000
SF,IC2003,2019-08-21,4614.8000,4640.4000,4603.6000,4621.4000,10986.00,1403.00,1296512200.00,4615.2000,4624.6000,-3.2000,-9.4000
SF,IC2003,2019-08-22,4629.0000,4632.8000,4582.8000,4614.8000,11494.00,1538.00,1417224280.00,4618.4000,4615.2000,-0.4000,3.2000
SF,IC2003,2019-08-23,4620.0000,4647.4000,4597.2000,4620.8000,11716.00,1723.00,1593148480.00,4628.6000,4618.4000,2.4000,10.2000
SF,IC2003,2019-08-26,4552.0000,4605.0000,4545.0000,4588.8000,12138.00,1987.00,1820124320.00,4580.8000,4628.6000,-39.8000,-47.8000
SF,IC2003,2019-08-27,4609.0000,4747.6000,4609.0000,4651.6000,12731.00,2983.00,2794018040.00,4663.4000,4580.8000,70.8000,82.6000
SF,IC2003,2019-08-28,4663.0000,4685.4000,4648.2000,4660.2000,12815.00,1645.00,1535368440.00,4671.2000,4663.4000,-3.2000,7.8000
SF,IC2003,2019-08-29,4672.0000,4695.0000,4645.6000,4664.8000,13004.00,1888.00,1762551880.00,4664.8000,4671.2000,-6.4000,-6.4000
SF,IC2003,2019-08-30,4711.0000,4719.0000,4592.6000,4631.0000,13792.00,2565.00,2389964320.00,4611.2000,4664.8000,-33.8000,-53.6000
SF,IC2003,2019-09-02,4631.0000,4794.8000,4625.0000,4756.0000,14737.00,4174.00,3947316600.00,4771.2000,4611.2000,144.8000,160.0000
SF,IC2003,2019-09-03,4766.0000,4782.8000,4741.4000,4776.2000,14742.00,2235.00,2130383000.00,4769.8000,4771.2000,5.0000,-1.4000
SF,IC2003,2019-09-04,4777.0000,4873.6000,4767.8000,4871.0000,15427.00,3298.00,3172865960.00,4825.6000,4769.8000,101.2000,55.8000
SF,IC2003,2019-09-05,4900.0000,5019.8000,4900.0000,4925.6000,17140.00,5957.00,5911413440.00,4937.2000,4825.6000,100.0000,111.6000
SF,IC2003,2019-09-06,4950.2000,4970.8000,4916.2000,4961.0000,16739.00,3357.00,3319844000.00,4938.4000,4937.2000,23.8000,1.2000
SF,IC2003,2019-09-09,4998.0000,5057.6000,4975.0000,5054.4000,16920.00,3606.00,3613513800.00,5040.8000,4938.4000,116.0000,102.4000
SF,IC2003,2019-09-10,5045.0000,5063.0000,5005.4000,5042.4000,17145.00,3155.00,3177035160.00,5040.4000,5040.8000,1.6000,-0.4000
SF,IC2003,2019-09-11,5063.0000,5080.0000,5014.4000,5037.4000,18108.00,4061.00,4098664480.00,5031.8000,5040.4000,-3.0000,-8.6000
SF,IC2003,2019-09-12,5050.0000,5091.2000,5024.8000,5072.8000,18179.00,3499.00,3536219680.00,5073.8000,5031.8000,41.0000,42.0000
SF,IC2003,2019-09-16,5082.4000,5109.6000,5027.0000,5052.4000,19584.00,4272.00,4332250680.00,5052.2000,5073.8000,-21.4000,-21.6000
SF,IC2003,2019-09-17,5040.2000,5041.0000,4920.6000,4931.2000,19435.00,5852.00,5812504080.00,4938.2000,5052.2000,-121.0000,-114.0000
SF,IC2003,2019-09-18,4945.6000,4965.0000,4927.0000,4934.0000,19906.00,3707.00,3665487720.00,4945.0000,4938.2000,-4.2000,6.8000
SF,IC2003,2019-09-19,4934.0000,4980.0000,4918.0000,4975.4000,20378.00,3583.00,3545743600.00,4966.0000,4945.0000,30.4000,21.0000
SF,IC2003,2019-09-20,4986.6000,5018.0000,4973.0000,4984.6000,21761.00,4287.00,4281047720.00,4986.4000,4966.0000,18.6000,20.4000
SF,IC2003,2019-09-23,4976.4000,4977.6000,4911.4000,4965.0000,21620.00,3446.00,3399359640.00,4949.4000,4986.4000,-21.4000,-37.0000
SF,IC2003,2019-09-24,4962.0000,5068.0000,4950.4000,4955.0000,23477.00,6025.00,6027056480.00,4974.4000,4949.4000,5.6000,25.0000
SF,IC2003,2019-09-25,4948.0000,4948.0000,4878.0000,4880.0000,22895.00,4422.00,4343132800.00,4900.8000,4974.4000,-94.4000,-73.6000
SF,IC2003,2019-09-26,4890.0000,4906.6000,4792.0000,4796.0000,23720.00,4465.00,4332033280.00,4807.4000,4900.8000,-104.8000,-93.4000
SF,IC2003,2019-09-27,4797.6000,4852.8000,4797.6000,4816.0000,23541.00,3574.00,3450201120.00,4818.8000,4807.4000,8.6000,11.4000
SF,IC2003,2019-09-30,4812.2000,4840.2000,4714.0000,4716.6000,24078.00,3735.00,3578735720.00,4764.0000,4818.8000,-102.2000,-54.8000
SF,IC2003,2019-10-08,4750.0000,4812.4000,4747.4000,4753.0000,24648.00,3834.00,3665769000.00,4757.2000,4764.0000,-11.0000,-6.8000
SF,IC2003,2019-10-09,4739.8000,4800.2000,4717.0000,4783.6000,25055.00,3788.00,3606520920.00,4784.4000,4757.2000,26.4000,27.2000
SF,IC2003,2019-10-10,4785.4000,4853.0000,4777.0000,4842.6000,25229.00,3723.00,3584584320.00,4833.4000,4784.4000,58.2000,49.0000
SF,IC2003,2019-10-11,4853.0000,4884.0000,4814.0000,4877.4000,25560.00,4003.00,3881730360.00,4869.0000,4833.4000,44.0000,35.6000
SF,IC2003,2019-10-14,4910.4000,4980.0000,4903.0000,4924.0000,25652.00,4990.00,4930890520.00,4932.4000,4869.0000,55.0000,63.4000
SF,IC2003,2019-10-15,4924.0000,4924.0000,4870.6000,4873.4000,25586.00,3432.00,3356240480.00,4881.8000,4932.4000,-59.0000,-50.6000
SF,IC2003,2019-10-16,4882.0000,4911.2000,4835.0000,4835.0000,25636.00,3127.00,3051923560.00,4845.6000,4881.8000,-46.8000,-36.2000
