市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IF1203,2011-07-18,3234.8000,3242.8000,3221.6000,3225.4000,83.00,134.00,129876780.00,3225.8000,3189.2000,36.2000,36.6000
SF,IF1203,2011-07-19,3221.6000,3223.8000,3195.2000,3221.8000,93.00,52.00,50069160.00,3209.8000,3225.8000,-4.0000,-16.0000
SF,IF1203,2011-07-20,3227.4000,3229.4000,3188.6000,3198.6000,99.00,49.00,47137620.00,3201.2000,3209.8000,-11.2000,-8.6000
SF,IF1203,2011-07-21,3195.2000,3208.0000,3173.4000,3179.4000,107.00,42.00,40203060.00,3177.8000,3201.2000,-21.8000,-23.4000
SF,IF1203,2011-07-22,3182.6000,3196.6000,3177.4000,3183.0000,116.00,36.00,34387200.00,3182.0000,3177.8000,5.2000,4.2000
SF,IF1203,2011-07-25,3156.0000,3164.8000,3076.2000,3082.4000,132.00,87.00,81382080.00,3084.0000,3182.0000,-99.6000,-98.0000
SF,IF1203,2011-07-26,3083.0000,3088.0000,3076.4000,3088.0000,128.00,27.00,24961800.00,3083.2000,3084.0000,4.0000,-0.8000
SF,IF1203,2011-07-27,3066.2000,3101.6000,3060.2000,3097.6000,131.00,54.00,49931100.00,3097.6000,3083.2000,14.4000,14.4000
SF,IF1203,2011-07-28,3085.6000,3090.0000,3068.8000,3078.6000,146.00,61.00,56358960.00,3081.6000,3097.6000,-19.0000,-16.0000
SF,IF1203,2011-07-29,3088.4000,3097.6000,3061.2000,3063.2000,154.00,40.00,36958980.00,3075.8000,3081.6000,-18.4000,-5.8000
SF,IF1203,2011-08-01,3075.6000,3080.8000,3068.4000,3075.0000,150.00,40.00,36915780.00,3076.2000,3075.8000,-0.8000,0.4000
SF,IF1203,2011-08-02,3051.0000,3058.8000,3020.4000,3056.6000,143.00,53.00,48290520.00,3050.4000,3076.2000,-19.6000,-25.8000
SF,IF1203,2011-08-03,3042.6000,3068.2000,3036.2000,3055.0000,160.00,57.00,52217160.00,3056.6000,3050.4000,4.6000,6.2000
SF,IF1203,2011-08-04,3062.0000,3077.8000,3057.2000,3061.6000,164.00,27.00,24849480.00,3060.8000,3056.6000,5.0000,4.2000
SF,IF1203,2011-08-05,2992.0000,3018.8000,2982.0000,2997.4000,176.00,56.00,50377200.00,2997.4000,3060.8000,-63.4000,-63.4000
SF,IF1203,2011-08-08,2989.8000,2996.0000,2854.8000,2888.2000,200.00,173.00,151345740.00,2895.8000,2997.4000,-109.2000,-101.6000
SF,IF1203,2011-08-09,2812.2000,2905.8000,2801.0000,2905.8000,225.00,162.00,138718440.00,2894.4000,2895.8000,10.0000,-1.4000
SF,IF1203,2011-08-10,2934.8000,2939.6000,2896.2000,2901.2000,241.00,114.00,100019580.00,2905.6000,2894.4000,6.8000,11.2000
SF,IF1203,2011-08-11,2878.2000,2979.6000,2875.4000,2979.6000,234.00,142.00,124324320.00,2962.4000,2905.6000,74.0000,56.8000
SF,IF1203,2011-08-12,2976.6000,2979.2000,2949.6000,2949.6000,256.00,62.00,55189500.00,2958.0000,2962.4000,-12.8000,-4.4000
SF,IF1203,2011-08-15,2962.2000,2989.0000,2901.0000,2980.2000,267.00,168.00,149666760.00,2982.0000,2958.0000,22.2000,24.0000
SF,IF1203,2011-08-16,2983.6000,2987.6000,2950.0000,2950.0000,272.00,95.00,84707400.00,2952.6000,2982.0000,-32.0000,-29.4000
SF,IF1203,2011-08-17,2949.8000,2980.6000,2949.8000,2975.8000,274.00,78.00,69356760.00,2959.8000,2952.6000,23.2000,7.2000
SF,IF1203,2011-08-18,2953.8000,2957.6000,2906.8000,2910.0000,291.00,57.00,50101080.00,2912.4000,2959.8000,-49.8000,-47.4000
SF,IF1203,2011-08-19,2894.8000,2894.8000,2851.6000,2867.2000,339.00,222.00,190993320.00,2865.6000,2912.4000,-45.2000,-46.8000
SF,IF1203,2011-08-22,2879.6000,2894.6000,2825.0000,2837.0000,339.00,140.00,119982720.00,2834.4000,2865.6000,-28.6000,-31.2000
SF,IF1203,2011-08-23,2813.6000,2877.8000,2813.6000,2877.8000,359.00,146.00,124859580.00,2859.2000,2834.4000,43.4000,24.8000
SF,IF1203,2011-08-24,2880.0000,2889.6000,2847.8000,2848.0000,354.00,106.00,91337100.00,2853.6000,2859.2000,-11.2000,-5.6000
SF,IF1203,2011-08-25,2859.6000,2964.6000,2859.6000,2964.6000,336.00,174.00,152231040.00,2956.8000,2853.6000,111.0000,103.2000
SF,IF1203,2011-08-26,2951.8000,2964.6000,2924.8000,2943.2000,350.00,110.00,97150860.00,2951.0000,2956.8000,-13.6000,-5.8000
SF,IF1203,2011-08-29,2934.6000,2934.6000,2896.0000,2908.8000,361.00,95.00,82967940.00,2908.2000,2951.0000,-42.2000,-42.8000
SF,IF1203,2011-08-30,2919.6000,2966.8000,2884.2000,2887.0000,374.00,376.00,330636960.00,2890.6000,2908.2000,-21.2000,-17.6000
SF,IF1203,2011-08-31,2897.0000,2907.8000,2880.0000,2899.4000,376.00,63.00,54724560.00,2897.4000,2890.6000,8.8000,6.8000
SF,IF1203,2011-09-01,2911.2000,2926.8000,2881.2000,2883.2000,397.00,99.00,86160300.00,2886.0000,2897.4000,-14.2000,-11.4000
SF,IF1203,2011-09-02,2880.8000,2893.8000,2849.0000,2858.0000,409.00,122.00,104733240.00,2857.2000,2886.0000,-28.0000,-28.8000
SF,IF1203,2011-09-05,2837.2000,2837.2000,2791.6000,2793.2000,517.00,294.00,247644120.00,2801.4000,2857.2000,-64.0000,-55.8000
SF,IF1203,2011-09-06,2786.6000,2796.8000,2767.8000,2794.8000,483.00,194.00,162002280.00,2780.8000,2801.4000,-6.6000,-20.6000
SF,IF1203,2011-09-07,2802.0000,2835.2000,2780.0000,2828.0000,506.00,234.00,196950840.00,2823.0000,2780.8000,47.2000,42.2000
SF,IF1203,2011-09-08,2835.8000,2839.6000,2810.4000,2810.4000,516.00,106.00,89767440.00,2815.6000,2823.0000,-12.6000,-7.4000
SF,IF1203,2011-09-09,2824.0000,2850.0000,2786.0000,2797.4000,587.00,377.00,317856420.00,2796.4000,2815.6000,-18.2000,-19.2000
SF,IF1203,2011-09-13,2768.0000,2771.0000,2745.2000,2757.2000,699.00,295.00,243944520.00,2762.2000,2796.4000,-39.2000,-34.2000
