市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IF1509,2015-01-19,3717.8000,3717.8000,3310.0000,3345.0000,4687.00,14311.00,14820327780.00,3336.4000,3788.4000,-443.4000,-452.0000
SF,IF1509,2015-01-20,3385.2000,3572.4000,3385.0000,3524.4000,5315.00,20663.00,21753337020.00,3533.4000,3336.4000,188.0000,197.0000
SF,IF1509,2015-01-21,3536.0000,3710.0000,3535.0000,3690.0000,6245.00,10978.00,11961834180.00,3689.2000,3533.4000,156.6000,155.8000
SF,IF1509,2015-01-22,3707.0000,3721.2000,3662.6000,3692.0000,6590.00,5239.00,5816505480.00,3704.8000,3689.2000,2.8000,15.6000
SF,IF1509,2015-01-23,3704.6000,3776.8000,3684.0000,3724.0000,7099.00,5868.00,6566279160.00,3709.2000,3704.8000,19.2000,4.4000
SF,IF1509,2015-01-26,3744.0000,3753.0000,3697.0000,3743.4000,7637.00,4397.00,4921931160.00,3742.0000,3709.2000,34.2000,32.8000
SF,IF1509,2015-01-27,3745.0000,3762.4000,3615.6000,3683.2000,7996.00,6959.00,7696588920.00,3693.0000,3742.0000,-58.8000,-49.0000
SF,IF1509,2015-01-28,3683.2000,3703.0000,3612.4000,3626.0000,8800.00,7144.00,7840710060.00,3633.2000,3693.0000,-67.0000,-59.8000
SF,IF1509,2015-01-29,3565.2000,3609.8000,3544.6000,3572.0000,9596.00,6335.00,6800048520.00,3572.6000,3633.2000,-61.2000,-60.6000
SF,IF1509,2015-01-30,3574.8000,3621.8000,3500.0000,3509.8000,10248.00,8598.00,9176917680.00,3535.4000,3572.6000,-62.8000,-37.2000
SF,IF1509,2015-02-02,3480.0000,3501.6000,3428.4000,3469.6000,11765.00,8475.00,8787083700.00,3447.2000,3535.4000,-65.8000,-88.2000
SF,IF1509,2015-02-03,3480.4000,3555.8000,3460.4000,3549.2000,13067.00,8186.00,8599400520.00,3536.8000,3447.2000,102.0000,89.6000
SF,IF1509,2015-02-04,3563.4000,3613.8000,3476.4000,3485.0000,13840.00,8809.00,9405970560.00,3515.6000,3536.8000,-51.8000,-21.2000
SF,IF1509,2015-02-05,3599.0000,3648.4000,3436.8000,3446.2000,14387.00,12976.00,13866893640.00,3485.4000,3515.6000,-69.4000,-30.2000
SF,IF1509,2015-02-06,3458.4000,3489.6000,3390.0000,3447.0000,15018.00,8153.00,8435188380.00,3421.4000,3485.4000,-38.4000,-64.0000
SF,IF1509,2015-02-09,3440.2000,3510.0000,3422.0000,3492.8000,15924.00,7949.00,8265470160.00,3474.8000,3421.4000,71.4000,53.4000
SF,IF1509,2015-02-10,3493.0000,3557.4000,3470.8000,3557.0000,16554.00,6773.00,7145445360.00,3532.4000,3474.8000,82.2000,57.6000
SF,IF1509,2015-02-11,3566.4000,3590.2000,3554.4000,3572.8000,17493.00,5567.00,5964456480.00,3572.2000,3532.4000,40.4000,39.8000
SF,IF1509,2015-02-12,3575.0000,3588.6000,3540.0000,3578.2000,18493.00,5123.00,5480698560.00,3582.2000,3572.2000,6.0000,10.0000
SF,IF1509,2015-02-13,3578.2000,3655.0000,3577.8000,3583.8000,18964.00,7340.00,7957252500.00,3599.2000,3582.2000,1.6000,17.0000
SF,IF1509,2015-02-16,3592.4000,3638.0000,3584.2000,3633.6000,20391.00,6834.00,7400155320.00,3620.2000,3599.2000,34.4000,21.0000
SF,IF1509,2015-02-17,3638.8000,3667.2000,3630.2000,3637.0000,21298.00,5978.00,6547999680.00,3642.8000,3620.2000,16.8000,22.6000
SF,IF1509,2015-02-25,3651.0000,3651.0000,3544.0000,3555.8000,21664.00,8410.00,9050754600.00,3561.0000,3642.8000,-87.0000,-81.8000
SF,IF1509,2015-02-26,3561.4000,3704.0000,3543.6000,3701.2000,22868.00,11300.00,12289202280.00,3674.0000,3561.0000,140.2000,113.0000
SF,IF1509,2015-02-27,3712.0000,3712.0000,3655.0000,3673.6000,23134.00,9624.00,10641842100.00,3674.6000,3674.0000,-0.4000,0.6000
SF,IF1509,2015-03-02,3740.0000,3740.0000,3665.0000,3693.8000,24714.00,11631.00,12891327960.00,3699.4000,3674.6000,19.2000,24.8000
SF,IF1509,2015-03-03,3693.8000,3693.8000,3582.6000,3612.0000,25981.00,14369.00,15639283380.00,3600.2000,3699.4000,-87.4000,-99.2000
SF,IF1509,2015-03-04,3613.2000,3635.4000,3570.4000,3599.2000,26381.00,13786.00,14920051740.00,3606.0000,3600.2000,-1.0000,5.8000
SF,IF1509,2015-03-05,3599.2000,3601.6000,3539.2000,3574.8000,27308.00,9792.00,10483713540.00,3559.6000,3606.0000,-31.2000,-46.4000
SF,IF1509,2015-03-06,3576.2000,3598.0000,3543.2000,3546.2000,28515.00,8080.00,8650702620.00,3549.6000,3559.6000,-13.4000,-10.0000
SF,IF1509,2015-03-09,3538.8000,3640.0000,3480.0000,3634.0000,28710.00,13038.00,13895583180.00,3624.6000,3549.6000,84.4000,75.0000
SF,IF1509,2015-03-10,3639.0000,3639.0000,3585.2000,3589.2000,29061.00,7455.00,8074297080.00,3599.8000,3624.6000,-35.4000,-24.8000
SF,IF1509,2015-03-11,3579.0000,3662.2000,3574.0000,3603.2000,29454.00,12687.00,13777140300.00,3598.8000,3599.8000,3.4000,-1.0000
SF,IF1509,2015-03-12,3608.0000,3694.8000,3608.0000,3660.0000,30049.00,11961.00,13144505580.00,3679.4000,3598.8000,61.2000,80.6000
SF,IF1509,2015-03-13,3694.0000,3720.0000,3664.0000,3691.0000,30425.00,11170.00,12379753380.00,3683.2000,3679.4000,11.6000,3.8000
SF,IF1509,2015-03-16,3695.0000,3783.4000,3683.2000,3783.0000,30804.00,10694.00,12004241160.00,3774.8000,3683.2000,99.8000,91.6000
SF,IF1509,2015-03-17,3802.2000,3839.8000,3792.8000,3839.2000,31944.00,12882.00,14744826300.00,3820.6000,3774.8000,64.4000,45.8000
SF,IF1509,2015-03-18,3847.2000,3945.6000,3838.0000,3902.2000,32641.00,14478.00,16882695060.00,3920.6000,3820.6000,81.6000,100.0000
