市场,合约,时间,开盘价,最高价,最低价,收盘价,持仓量,成交量,成交额,今结算,昨结算,收盘涨跌,结算涨跌
SF,IH1611,2016-09-20,2160.2000,2164.4000,2156.8000,2164.4000,40.00,40.00,25916340.00,2161.2000,2171.4000,-7.0000,-10.2000
SF,IH1611,2016-09-21,2161.2000,2168.8000,2161.2000,2165.8000,65.00,38.00,24683040.00,2166.6000,2161.2000,4.6000,5.4000
SF,IH1611,2016-09-22,2168.8000,2192.8000,2168.8000,2180.4000,137.00,91.00,59567580.00,2179.4000,2166.6000,13.8000,12.8000
SF,IH1611,2016-09-23,2181.6000,2182.0000,2176.4000,2177.0000,388.00,296.00,193519500.00,2179.0000,2179.4000,-2.4000,-0.4000
SF,IH1611,2016-09-26,2167.8000,2170.0000,2154.0000,2154.6000,561.00,338.00,219505080.00,2162.2000,2179.0000,-24.4000,-16.8000
SF,IH1611,2016-09-27,2150.2000,2164.0000,2148.6000,2161.6000,733.00,360.00,233095800.00,2160.8000,2162.2000,-0.6000,-1.4000
SF,IH1611,2016-09-28,2159.6000,2160.2000,2152.6000,2156.6000,902.00,279.00,180634020.00,2155.8000,2160.8000,-4.2000,-5.0000
SF,IH1611,2016-09-29,2160.0000,2176.4000,2160.0000,2167.8000,1235.00,525.00,341590620.00,2167.8000,2155.8000,12.0000,12.0000
SF,IH1611,2016-09-30,2164.4000,2172.8000,2163.6000,2167.0000,1317.00,261.00,169819560.00,2167.6000,2167.8000,-0.8000,-0.2000
SF,IH1611,2016-10-10,2167.0000,2200.6000,2167.0000,2191.8000,2079.00,982.00,644448780.00,2191.2000,2167.6000,24.2000,23.6000
SF,IH1611,2016-10-11,2190.0000,2200.4000,2190.0000,2197.4000,2871.00,1126.00,741803400.00,2195.4000,2191.2000,6.2000,4.2000
SF,IH1611,2016-10-12,2197.4000,2197.4000,2181.6000,2189.4000,3707.00,1084.00,712453140.00,2189.0000,2195.4000,-6.0000,-6.4000
SF,IH1611,2016-10-13,2187.2000,2197.4000,2183.8000,2187.6000,4395.00,1022.00,670932840.00,2187.4000,2189.0000,-1.4000,-1.6000
SF,IH1611,2016-10-14,2188.8000,2199.6000,2182.2000,2198.6000,5264.00,1256.00,825045180.00,2193.8000,2187.4000,11.2000,6.4000
SF,IH1611,2016-10-17,2197.0000,2197.0000,2172.8000,2175.8000,6403.00,1814.00,1190589120.00,2180.6000,2193.8000,-18.0000,-13.2000
SF,IH1611,2016-10-18,2175.6000,2213.2000,2175.6000,2213.2000,8225.00,2626.00,1730507460.00,2207.6000,2180.6000,32.6000,27.0000
SF,IH1611,2016-10-19,2213.2000,2220.8000,2204.0000,2207.2000,10742.00,3884.00,2576921820.00,2207.2000,2207.6000,-0.4000,-0.4000
SF,IH1611,2016-10-20,2212.4000,2218.6000,2209.0000,2212.2000,13271.00,4187.00,2779184520.00,2212.4000,2207.2000,5.0000,5.2000
SF,IH1611,2016-10-21,2213.2000,2238.4000,2209.4000,2224.2000,14896.00,4717.00,3145691100.00,2224.6000,2212.4000,11.8000,12.2000
SF,IH1611,2016-10-24,2226.2000,2274.0000,2226.2000,2258.8000,15355.00,4700.00,3173986320.00,2259.0000,2224.6000,34.2000,34.4000
SF,IH1611,2016-10-25,2258.8000,2260.8000,2250.4000,2253.2000,15383.00,3059.00,2069577420.00,2254.0000,2259.0000,-5.8000,-5.0000
SF,IH1611,2016-10-26,2253.2000,2260.0000,2241.0000,2244.8000,15467.00,3302.00,2230516200.00,2247.6000,2254.0000,-9.2000,-6.4000
SF,IH1611,2016-10-27,2246.2000,2247.4000,2233.4000,2241.8000,15390.00,3158.00,2121335280.00,2240.6000,2247.6000,-5.8000,-7.0000
