市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2106,2020-10-29 09:29:00.100,3213.0000,954,0,963900.000,1.000,-,-,-,-,3211.2000,3209.0000,3205.0000,3202.0000,3201.2000,3214.0000,3214.8000,3216.0000,3219.0000,3221.4000,1,1,1,1,2,1,1,1,1,3
SF,IH2106,2020-10-29 09:30:00.100,3209.0000,955,1,2889960.000,2,1,1,空开,S,3205.0000,3202.2000,3202.0000,3201.2000,3201.0000,3210.4000,3210.8000,3211.0000,3211.2000,3213.8000,1,1,1,2,2,1,1,1,1,1
SF,IH2106,2020-10-29 09:30:00.600,3205.0000,953,-2,7698060.000,5,1,4,多平,S,3202.2000,3202.0000,3201.2000,3201.0000,3199.0000,3209.8000,3210.2000,3210.4000,3211.0000,3211.2000,1,1,2,2,2,1,4,1,1,1
SF,IH2106,2020-10-29 09:30:01.100,3209.6000,952,-1,9623820.000,2,0,2,多平,S,3209.0000,3202.4000,3202.2000,3202.0000,3201.2000,3209.8000,3210.2000,3210.4000,3211.0000,3211.2000,1,2,1,1,2,1,3,1,1,1
SF,IH2106,2020-10-29 09:30:01.600,3209.0000,951,-1,10586520.000,1,0,1,双平,S,3202.4000,3202.2000,3202.0000,3201.2000,3201.0000,3209.0000,3209.8000,3210.2000,3210.4000,3211.0000,1,1,1,2,2,1,1,3,1,1
SF,IH2106,2020-10-29 09:30:02.100,3209.0000,951,0,10586520.000,0,-,-,-,-,3202.4000,3202.2000,3202.0000,3201.2000,3201.0000,3208.8000,3209.0000,3210.2000,3210.4000,3211.0000,1,1,1,2,2,2,1,3,1,1
SF,IH2106,2020-10-29 09:30:02.600,3209.0000,953,2,12511920.000,2,2,0,双开,S,3202.4000,3202.2000,3202.0000,3201.2000,3201.0000,3208.8000,3209.0000,3210.2000,3210.4000,3211.0000,1,1,1,2,2,2,1,3,1,1
SF,IH2106,2020-10-29 09:30:03.100,3209.0000,953,0,12511920.000,0,-,-,-,-,3202.6000,3202.4000,3202.2000,3202.0000,3201.2000,3208.6000,3208.8000,3209.0000,3210.2000,3210.4000,1,1,1,1,2,2,2,1,3,1
SF,IH2106,2020-10-29 09:30:03.600,3209.0000,953,0,12511920.000,0,-,-,-,-,3202.8000,3202.6000,3202.4000,3202.2000,3202.0000,3208.4000,3208.6000,3209.0000,3210.2000,3210.4000,1,1,1,1,1,2,2,1,3,1
SF,IH2106,2020-10-29 09:30:04.100,3209.0000,953,0,12511920.000,0,-,-,-,-,3203.2000,3203.0000,3202.8000,3202.4000,3202.2000,3208.2000,3208.4000,3208.6000,3209.0000,3210.2000,1,1,1,1,1,2,2,2,1,3
