市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2009,2020-03-27 09:29:00.100,2616.6000,9836,0,6279840.000,8.000,-,-,-,-,2616.4000,2615.8000,2615.0000,2614.8000,2612.0000,2620.0000,2622.0000,2625.0000,2625.2000,2627.8000,1,1,1,1,1,3,1,2,2,1
SF,IH2009,2020-03-27 09:30:00.100,2616.6000,9835,-1,10989720.000,6,2,4,多平,S,2616.8000,2616.6000,2616.4000,2615.8000,2615.0000,2620.0000,2622.0000,2625.0000,2625.2000,2627.8000,1,2,1,1,1,2,1,2,2,1
SF,IH2009,2020-03-27 09:30:00.600,2620.0000,9834,-1,12560820.000,2,0,2,多平,S,2618.0000,2617.0000,2616.8000,2616.6000,2615.8000,2620.0000,2622.0000,2625.0000,2625.2000,2627.8000,1,4,3,1,1,2,1,2,2,1
SF,IH2009,2020-03-27 09:30:01.100,2619.8000,9833,-1,15702720.000,4,1,3,多平,S,2617.0000,2616.8000,2616.6000,2615.8000,2615.0000,2618.0000,2619.8000,2620.0000,2622.0000,2625.0000,2,2,1,1,1,1,1,3,1,2
SF,IH2009,2020-03-27 09:30:01.600,2617.0000,9832,-1,18058680.000,3,1,2,多平,S,2616.8000,2616.6000,2615.0000,2612.0000,2610.6000,2618.0000,2619.6000,2619.8000,2620.0000,2622.0000,1,1,1,1,5,1,4,1,3,1
SF,IH2009,2020-03-27 09:30:02.100,2618.0000,9831,-1,18844080.000,1,0,1,双平,S,2617.0000,2616.8000,2616.6000,2615.0000,2612.0000,2619.6000,2619.8000,2620.0000,2622.0000,2625.0000,1,1,1,1,1,4,1,3,1,2
SF,IH2009,2020-03-27 09:30:02.600,2618.0000,9831,0,18844080.000,0,-,-,-,-,2617.0000,2616.8000,2616.6000,2615.0000,2612.0000,2618.0000,2619.4000,2619.6000,2620.0000,2622.0000,1,1,1,1,1,2,2,3,3,1
SF,IH2009,2020-03-27 09:30:03.100,2616.8000,9830,-1,20414220.000,2,0,2,多平,S,2616.6000,2615.8000,2615.0000,2612.0000,2610.6000,2618.0000,2619.2000,2619.4000,2619.6000,2620.0000,1,1,1,1,5,2,1,2,3,3
SF,IH2009,2020-03-27 09:30:03.600,2617.8000,9830,0,21199560.000,1,0,1,多换,S,2616.6000,2615.8000,2615.0000,2612.0000,2610.6000,2618.0000,2619.2000,2619.4000,2619.6000,2620.0000,1,1,1,1,5,3,1,2,3,4
SF,IH2009,2020-03-27 09:30:04.100,2617.8000,9829,-1,21984900.000,1,0,1,双平,S,2616.6000,2615.8000,2615.0000,2612.0000,2610.6000,2618.0000,2619.2000,2619.4000,2619.6000,2620.0000,1,1,1,1,5,2,1,2,3,4
SF,IH2009,2020-03-27 09:30:04.600,2618.0000,9828,-1,23555700.000,2,0,2,多平,S,2618.8000,2616.6000,2615.8000,2615.0000,2612.0000,2619.2000,2619.4000,2619.6000,2620.0000,2622.0000,1,1,1,1,1,1,2,3,4,1
SF,IH2009,2020-03-27 09:30:05.100,2618.0000,9828,0,23555700.000,0,-,-,-,-,2616.6000,2615.8000,2615.0000,2612.0000,2610.6000,2618.8000,2619.2000,2619.4000,2620.0000,2622.0000,1,1,1,1,5,3,1,1,4,1
SF,IH2009,2020-03-27 09:30:05.600,2618.0000,9828,0,23555700.000,0,-,-,-,-,2616.6000,2615.8000,2615.0000,2612.0000,2610.6000,2618.4000,2618.6000,2618.8000,2619.4000,2620.0000,1,1,1,1,5,1,1,3,1,4
SF,IH2009,2020-03-27 09:30:06.100,2616.6000,9828,0,24340680.000,1,0,1,多换,S,2615.8000,2615.0000,2612.0000,2610.6000,2610.0000,2616.6000,2618.0000,2618.2000,2618.4000,2620.0000,1,1,1,5,1,1,4,2,1,4
SF,IH2009,2020-03-27 09:30:06.600,2616.6000,9827,-1,25125660.000,1,0,1,双平,S,2616.8000,2616.0000,2615.8000,2615.0000,2612.0000,2618.2000,2618.4000,2620.0000,2620.2000,2622.0000,6,1,3,1,1,1,1,5,1,1
SF,IH2009,2020-03-27 09:30:07.100,2618.0000,9826,-1,27481560.000,3,1,2,多平,S,2616.8000,2616.0000,2615.8000,2615.0000,2612.0000,2620.0000,2620.2000,2622.0000,2625.0000,2625.2000,5,1,3,1,1,5,1,1,3,2
SF,IH2009,2020-03-27 09:30:07.600,2618.0000,9826,0,27481560.000,0,-,-,-,-,2618.4000,2616.8000,2615.8000,2615.0000,2612.0000,2619.6000,2619.8000,2620.0000,2620.2000,2622.0000,1,5,1,1,1,4,1,5,1,1
SF,IH2009,2020-03-27 09:30:08.100,2618.4000,9825,-1,28267080.000,1,0,1,双平,S,2616.8000,2615.8000,2615.0000,2612.0000,2610.6000,2619.4000,2619.6000,2620.0000,2620.2000,2622.0000,5,1,1,1,5,1,4,5,1,1
SF,IH2009,2020-03-27 09:30:08.600,2618.4000,9825,0,28267080.000,0,-,-,-,-,2616.8000,2615.8000,2615.0000,2612.0000,2610.6000,2618.0000,2619.0000,2619.4000,2620.0000,2620.2000,5,1,1,1,5,1,4,1,5,1
SF,IH2009,2020-03-27 09:30:09.100,2616.8000,9823,-2,32192640.000,5,1,4,多平,S,2616.8000,2615.8000,2615.0000,2612.0000,2610.6000,2617.8000,2618.0000,2619.0000,2619.2000,2619.4000,1,1,1,1,5,2,1,2,1,1
SF,IH2009,2020-03-27 09:30:09.600,2616.8000,9823,0,32977680.000,1,0,1,多换,S,2615.8000,2615.0000,2612.0000,2610.6000,2610.0000,2617.8000,2619.0000,2619.2000,2619.4000,2620.0000,1,1,1,5,1,2,1,1,1,5
SF,IH2009,2020-03-27 09:30:10.100,2616.8000,9823,0,32977680.000,0,-,-,-,-,2616.4000,2616.0000,2615.8000,2615.0000,2612.0000,2616.8000,2617.6000,2617.8000,2618.4000,2619.2000,1,1,1,1,1,1,1,2,1,1
SF,IH2009,2020-03-27 09:30:10.600,2616.8000,9822,-1,33762720.000,1,0,1,双平,S,2616.8000,2616.4000,2616.0000,2615.8000,2615.0000,2617.6000,2617.8000,2618.0000,2618.4000,2619.2000,2,1,1,1,1,1,2,1,1,1
SF,IH2009,2020-03-27 09:30:11.100,2616.8000,9822,0,33762720.000,0,-,-,-,-,2616.8000,2616.4000,2616.0000,2615.8000,2615.0000,2617.8000,2618.0000,2618.4000,2619.2000,2619.4000,2,1,1,1,1,1,1,1,1,1
SF,IH2009,2020-03-27 09:30:11.600,2616.8000,9821,-1,35332800.000,2,0,2,多平,S,2616.4000,2615.8000,2615.0000,2612.0000,2610.6000,2616.8000,2617.6000,2617.8000,2618.0000,2618.4000,1,1,1,1,5,3,4,1,1,1
SF,IH2009,2020-03-27 09:30:12.100,2616.4000,9820,-1,36117720.000,1,0,1,双平,S,2615.8000,2615.0000,2612.0000,2610.6000,2610.0000,2616.4000,2616.8000,2617.4000,2617.6000,2617.8000,1,1,1,5,1,1,1,1,3,1
SF,IH2009,2020-03-27 09:30:12.600,2616.8000,9818,-2,37687800.000,2,0,2,双平,S,2615.8000,2615.0000,2612.0000,2610.6000,2610.0000,2616.8000,2617.4000,2617.6000,2617.8000,2618.0000,1,1,1,5,1,1,1,3,1,2
SF,IH2009,2020-03-27 09:30:13.100,2616.6000,9815,-3,40827480.000,4,0,4,多平,S,2615.0000,2612.0000,2610.6000,2610.0000,2608.0000,2616.8000,2617.8000,2618.0000,2618.4000,2619.0000,1,1,5,1,1,1,1,2,1,1
SF,IH2009,2020-03-27 09:30:13.600,2616.6000,9815,0,40827480.000,0,-,-,-,-,2615.0000,2612.0000,2610.6000,2610.0000,2608.0000,2616.8000,2617.8000,2618.0000,2618.4000,2619.0000,1,1,5,1,1,1,1,2,1,1
SF,IH2009,2020-03-27 09:30:14.100,2616.6000,9815,0,40827480.000,0,-,-,-,-,2615.2000,2615.0000,2612.0000,2610.6000,2610.0000,2616.8000,2617.8000,2618.0000,2618.4000,2619.0000,1,1,1,5,1,1,1,1,1,1
SF,IH2009,2020-03-27 09:30:15.100,2616.8000,9815,0,41612520.000,1,0,1,多换,S,2615.2000,2615.0000,2612.0000,2610.6000,2610.0000,2616.4000,2616.8000,2617.8000,2618.0000,2618.4000,1,1,1,5,1,1,1,1,1,1
SF,IH2009,2020-03-27 09:30:15.600,2615.4000,9813,-2,43182060.000,2,0,2,双平,S,2615.2000,2615.0000,2612.0000,2610.6000,2610.0000,2616.8000,2617.8000,2618.0000,2618.4000,2619.0000,1,1,1,5,1,1,1,1,1,1
SF,IH2009,2020-03-27 09:30:16.100,2616.8000,9812,-1,44751720.000,2,0,2,多平,S,2615.4000,2615.2000,2615.0000,2612.0000,2610.6000,2617.8000,2618.0000,2618.4000,2619.0000,2619.4000,1,1,1,1,5,1,1,1,1,1
SF,IH2009,2020-03-27 09:30:16.600,2616.8000,9812,0,44751720.000,0,-,-,-,-,2615.6000,2615.4000,2615.0000,2612.0000,2610.6000,2616.6000,2617.4000,2617.6000,2617.8000,2618.0000,1,1,1,1,5,1,3,1,1,2
SF,IH2009,2020-03-27 09:30:17.100,2616.6000,9811,-1,46321380.000,2,0,2,多平,S,2615.4000,2615.0000,2612.0000,2610.6000,2610.0000,2617.4000,2617.6000,2617.8000,2618.0000,2618.2000,1,1,1,5,1,2,1,1,2,1
SF,IH2009,2020-03-27 09:30:17.600,2616.6000,9811,0,47106360.000,1,0,1,多换,S,2615.8000,2615.4000,2615.0000,2612.0000,2610.6000,2617.0000,2617.2000,2617.4000,2617.8000,2618.0000,1,1,1,1,5,1,2,3,1,2
SF,IH2009,2020-03-27 09:30:18.100,2616.6000,9811,0,47106360.000,0,-,-,-,-,2615.8000,2615.4000,2615.0000,2612.0000,2610.6000,2616.6000,2616.8000,2617.0000,2617.2000,2617.8000,1,1,1,1,5,3,1,1,1,1
SF,IH2009,2020-03-27 09:30:18.600,2616.8000,9811,0,47891400.000,1,0,1,多换,S,2615.8000,2615.4000,2615.0000,2612.0000,2610.6000,2617.2000,2617.4000,2617.8000,2618.0000,2618.2000,1,1,1,1,5,1,1,1,2,1
SF,IH2009,2020-03-27 09:30:19.100,2616.8000,9811,0,47891400.000,0,-,-,-,-,2616.0000,2615.0000,2612.0000,2610.6000,2610.0000,2617.0000,2617.2000,2617.4000,2617.8000,2618.0000,1,1,1,5,1,1,1,1,1,2
SF,IH2009,2020-03-27 09:30:19.600,2616.0000,9810,-1,49461000.000,2,0,2,多平,S,2615.0000,2612.0000,2610.6000,2610.0000,2608.0000,2615.4000,2615.6000,2615.8000,2616.8000,2617.0000,1,1,5,1,1,1,2,2,4,2
SF,IH2009,2020-03-27 09:30:20.100,2615.0000,9810,0,50245500.000,1,0,1,多换,S,2612.0000,2610.6000,2610.0000,2608.0000,2603.0000,2615.0000,2615.4000,2615.6000,2615.8000,2616.8000,1,5,1,1,1,1,1,2,2,4
SF,IH2009,2020-03-27 09:30:20.600,2615.0000,9810,0,50245500.000,0,-,-,-,-,2612.2000,2612.0000,2610.6000,2610.0000,2608.0000,2614.8000,2615.0000,2615.2000,2615.4000,2615.6000,2,1,5,1,1,2,1,3,1,2
SF,IH2009,2020-03-27 09:30:21.100,2615.0000,9810,0,50245500.000,0,-,-,-,-,2613.0000,2612.2000,2612.0000,2610.6000,2610.0000,2614.8000,2615.0000,2615.4000,2615.6000,2615.8000,1,3,1,5,1,1,1,1,2,2
SF,IH2009,2020-03-27 09:30:21.600,2614.8000,9809,-1,51029940.000,1,0,1,双平,S,2613.2000,2613.0000,2612.2000,2612.0000,2610.6000,2615.4000,2615.6000,2615.8000,2616.8000,2617.0000,2,1,2,1,5,1,2,2,1,1
SF,IH2009,2020-03-27 09:30:22.100,2615.2000,9809,0,51814500.000,1,0,1,多换,S,2613.2000,2613.0000,2612.0000,2610.6000,2610.0000,2615.4000,2615.6000,2615.8000,2616.8000,2617.0000,6,2,1,5,1,1,2,2,1,1
