市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2006,2020-03-25 09:29:00.200,2630.0000,19191,0,27615000.000,35.000,-,-,-,-,2630.0000,2628.0000,2627.0000,2623.0000,2620.8000,2635.0000,2636.0000,2639.0000,2640.0000,2643.0000,4,1,1,3,1,2,1,1,3,2
SF,IH2006,2020-03-25 09:30:00.200,2635.0000,19190,-1,32358000.000,6,2,4,多平,S,2635.0000,2634.0000,2633.8000,2633.4000,2632.6000,2636.0000,2639.0000,2640.0000,2643.0000,2644.4000,2,2,1,3,1,2,1,4,2,1
SF,IH2006,2020-03-25 09:30:00.700,2640.0000,19188,-2,48970140.000,21,9,12,多平,S,2636.2000,2636.0000,2635.4000,2635.2000,2635.0000,2640.0000,2643.0000,2644.4000,2644.6000,2645.0000,3,2,2,7,12,2,2,1,1,3
SF,IH2006,2020-03-25 09:30:01.200,2640.0000,19181,-7,56097540.000,9,1,8,多平,S,2639.2000,2639.0000,2638.8000,2638.6000,2638.4000,2640.0000,2643.0000,2644.4000,2644.6000,2645.0000,1,3,2,3,3,1,2,1,1,3
SF,IH2006,2020-03-25 09:30:01.700,2640.0000,19182,1,56889540.000,1,1,0,双开,S,2641.0000,2640.4000,2640.2000,2640.0000,2639.4000,2643.0000,2644.4000,2644.6000,2645.0000,2646.2000,1,1,5,11,4,2,1,1,3,1
SF,IH2006,2020-03-25 09:30:02.200,2643.0000,19180,-2,59268240.000,3,0,3,多平,S,2643.2000,2643.0000,2641.2000,2641.0000,2640.2000,2644.4000,2644.6000,2645.0000,2646.2000,2648.0000,1,1,7,1,3,1,1,3,1,1
SF,IH2006,2020-03-25 09:30:02.700,2643.0000,19178,-2,60854040.000,2,0,2,双平,S,2642.2000,2641.2000,2641.0000,2640.2000,2640.0000,2643.2000,2644.0000,2644.2000,2644.4000,2644.6000,10,7,1,3,9,4,1,6,2,2
SF,IH2006,2020-03-25 09:30:03.200,2642.6000,19173,-5,66403080.000,7,1,6,多平,S,2642.4000,2642.2000,2641.2000,2641.0000,2640.2000,2644.2000,2644.4000,2644.6000,2645.0000,2646.2000,5,5,7,1,3,5,2,2,3,1
SF,IH2006,2020-03-25 09:30:03.700,2642.6000,19172,-1,67988640.000,2,0,2,多平,S,2641.2000,2641.0000,2640.2000,2640.0000,2639.0000,2643.6000,2644.0000,2644.2000,2644.4000,2644.6000,5,1,3,10,1,1,2,6,2,2
SF,IH2006,2020-03-25 09:30:04.200,2641.8000,19170,-2,71952600.000,5,1,4,多平,S,2641.8000,2641.4000,2641.2000,2641.0000,2640.2000,2643.4000,2643.6000,2644.2000,2644.4000,2644.6000,3,2,10,1,3,5,1,1,1,2
