市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2009,2020-03-18 09:29:00.000,2625.6000,9745,0,11027520.000,14.000,-,-,-,-,2625.4000,2621.4000,2620.2000,2618.8000,2616.0000,2625.8000,2626.0000,2626.4000,2627.2000,2629.4000,1,1,2,1,3,3,4,1,1,1
SF,IH2009,2020-03-18 09:30:00.500,2625.4000,9746,1,14965620.000,5,3,2,空开,S,2621.4000,2620.2000,2618.8000,2616.0000,2614.0000,2623.2000,2624.0000,2625.0000,2625.2000,2625.4000,1,2,1,3,2,2,1,8,4,2
SF,IH2009,2020-03-18 09:30:01.000,2621.4000,9746,0,15752040.000,1,0,1,多换,S,2621.4000,2620.2000,2620.0000,2618.8000,2616.0000,2622.8000,2623.0000,2623.2000,2624.0000,2625.0000,4,2,1,1,3,2,1,2,1,1
SF,IH2009,2020-03-18 09:30:01.500,2621.4000,9746,0,18111300.000,3,1,2,多换,S,2621.4000,2620.2000,2620.0000,2618.8000,2616.0000,2622.6000,2622.8000,2624.0000,2625.0000,2625.4000,1,2,1,1,3,1,2,1,1,1
SF,IH2009,2020-03-18 09:30:02.000,2621.4000,9746,0,18897720.000,1,0,1,多换,S,2620.2000,2620.0000,2618.8000,2616.0000,2614.0000,2622.2000,2622.6000,2624.0000,2625.0000,2625.4000,2,1,1,3,2,2,1,1,1,1
SF,IH2009,2020-03-18 09:30:02.500,2622.0000,9745,-1,19684320.000,1,0,1,双平,S,2620.4000,2620.2000,2620.0000,2618.8000,2616.0000,2622.2000,2622.4000,2624.0000,2625.0000,2625.4000,1,2,1,1,3,2,1,1,1,1
SF,IH2009,2020-03-18 09:30:03.000,2622.0000,9745,0,19684320.000,0,-,-,-,-,2620.6000,2620.4000,2620.2000,2620.0000,2618.8000,2622.2000,2624.0000,2625.0000,2625.4000,2625.6000,1,1,2,1,1,2,1,1,1,1
SF,IH2009,2020-03-18 09:30:03.500,2622.0000,9745,0,19684320.000,0,-,-,-,-,2620.8000,2620.6000,2620.2000,2620.0000,2618.8000,2624.0000,2625.0000,2625.4000,2625.6000,2625.8000,1,1,2,1,1,1,2,1,1,7
SF,IH2009,2020-03-18 09:30:04.000,2622.0000,9745,0,19684320.000,0,-,-,-,-,2621.0000,2620.8000,2620.2000,2620.0000,2618.8000,2623.6000,2624.0000,2625.0000,2625.4000,2625.6000,1,1,2,1,2,2,1,2,1,1
SF,IH2009,2020-03-18 09:30:04.500,2621.2000,9744,-1,20470680.000,1,0,1,双平,S,2621.0000,2620.2000,2620.0000,2618.8000,2616.0000,2623.6000,2624.0000,2625.0000,2625.4000,2625.8000,1,2,1,2,3,2,1,2,1,7
SF,IH2009,2020-03-18 09:30:05.000,2625.0000,9744,0,21258180.000,1,0,1,多换,S,2621.0000,2620.2000,2620.0000,2618.8000,2616.0000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,1,2,1,2,3,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:05.500,2625.0000,9744,0,21258180.000,0,-,-,-,-,2621.2000,2621.0000,2620.2000,2620.0000,2618.8000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,1,1,2,1,2,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:06.000,2625.0000,9744,0,21258180.000,0,-,-,-,-,2622.0000,2621.4000,2621.2000,2620.2000,2620.0000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,1,1,1,2,1,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:06.500,2625.0000,9744,0,21258180.000,0,-,-,-,-,2622.2000,2622.0000,2621.2000,2620.2000,2620.0000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,2,1,1,2,1,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:07.000,2625.0000,9744,0,21258180.000,0,-,-,-,-,2622.6000,2622.2000,2622.0000,2620.2000,2620.0000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,2,3,2,2,1,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:07.500,2625.0000,9744,0,21258180.000,0,-,-,-,-,2622.8000,2622.6000,2622.2000,2622.0000,2620.8000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,2,2,1,2,1,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:08.000,2623.6000,9745,1,22045260.000,1,1,0,双开,S,2622.8000,2622.6000,2622.2000,2622.0000,2620.8000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,2,2,1,2,1,1,2,4,1,1
SF,IH2009,2020-03-18 09:30:08.500,2623.6000,9745,0,22045260.000,0,-,-,-,-,2622.8000,2622.6000,2622.2000,2622.0000,2620.8000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,2,2,1,2,1,1,2,3,1,1
SF,IH2009,2020-03-18 09:30:09.000,2623.6000,9745,0,22045260.000,0,-,-,-,-,2623.0000,2622.8000,2622.6000,2622.0000,2620.8000,2625.4000,2625.8000,2626.0000,2626.4000,2626.8000,1,2,2,2,1,1,2,3,1,1
SF,IH2009,2020-03-18 09:30:09.500,2625.4000,9744,-1,22832880.000,1,0,1,双平,S,2623.2000,2623.0000,2622.6000,2622.0000,2620.8000,2625.8000,2626.0000,2626.4000,2626.8000,2627.0000,2,1,2,2,1,2,3,1,1,1
SF,IH2009,2020-03-18 09:30:10.000,2625.4000,9744,0,22832880.000,0,-,-,-,-,2623.4000,2623.2000,2622.6000,2622.0000,2620.8000,2625.8000,2626.0000,2626.4000,2626.8000,2627.0000,2,2,2,2,1,2,3,1,1,1
SF,IH2009,2020-03-18 09:30:10.500,2625.8000,9744,0,23620620.000,1,0,1,多换,S,2623.6000,2623.4000,2623.2000,2622.6000,2622.0000,2625.8000,2626.0000,2626.4000,2626.8000,2627.0000,1,2,1,2,2,2,3,1,1,1
SF,IH2009,2020-03-18 09:30:11.000,2625.8000,9744,0,23620620.000,0,-,-,-,-,2623.6000,2623.4000,2623.2000,2622.6000,2622.0000,2625.8000,2626.0000,2626.4000,2626.8000,2627.0000,1,2,1,2,3,2,3,1,1,1
SF,IH2009,2020-03-18 09:30:11.500,2625.8000,9744,0,23620620.000,0,-,-,-,-,2623.6000,2623.4000,2623.2000,2622.6000,2622.0000,2625.8000,2626.0000,2626.4000,2626.8000,2627.0000,1,2,1,2,3,2,3,1,1,1
