市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2003,2019-12-04 09:29:00.300,2893.0000,15711,0,2603700.000,3.000,-,-,-,-,2892.0000,2891.2000,2891.0000,2890.8000,2890.0000,2893.0000,2895.0000,2897.0000,2898.4000,2898.8000,1,1,1,1,2,3,4,1,1,1
SF,IH2003,2019-12-04 09:30:00.300,2893.0000,15711,0,3471600.000,1,0,1,多换,S,2892.0000,2891.2000,2891.0000,2890.8000,2890.0000,2892.6000,2892.8000,2893.0000,2895.0000,2897.0000,1,1,1,1,3,6,4,4,4,1
SF,IH2003,2019-12-04 09:30:00.800,2892.0000,15711,0,4339200.000,1,0,1,多换,S,2891.2000,2891.0000,2890.8000,2890.2000,2890.0000,2892.0000,2892.4000,2892.6000,2892.8000,2893.0000,1,1,2,1,3,1,5,3,7,4
SF,IH2003,2019-12-04 09:30:01.300,2892.4000,15709,-2,6074520.000,2,0,2,双平,S,2892.2000,2892.0000,2891.8000,2891.6000,2891.4000,2893.0000,2895.0000,2897.0000,2900.0000,2901.0000,2,1,1,1,10,4,4,1,3,1
SF,IH2003,2019-12-04 09:30:01.800,2892.4000,15709,0,6074520.000,0,-,-,-,-,2892.2000,2892.0000,2891.6000,2891.4000,2891.2000,2893.0000,2895.0000,2897.0000,2900.0000,2901.0000,2,2,1,7,1,4,4,1,3,1
SF,IH2003,2019-12-04 09:30:02.300,2892.2000,15710,1,6942180.000,1,1,0,双开,S,2892.0000,2891.6000,2891.4000,2891.2000,2891.0000,2893.0000,2895.0000,2897.0000,2900.0000,2901.0000,2,1,5,1,1,4,4,1,3,1
SF,IH2003,2019-12-04 09:30:02.800,2892.2000,15710,0,6942180.000,0,-,-,-,-,2892.0000,2891.4000,2891.2000,2891.0000,2890.8000,2892.8000,2893.0000,2895.0000,2897.0000,2900.0000,2,4,1,1,1,1,5,4,1,3
SF,IH2003,2019-12-04 09:30:03.300,2892.8000,15708,-2,8677620.000,2,0,2,双平,S,2892.0000,2891.4000,2891.2000,2891.0000,2890.8000,2893.0000,2895.0000,2897.0000,2900.0000,2901.0000,1,2,1,1,1,5,4,1,3,1
SF,IH2003,2019-12-04 09:30:03.800,2892.8000,15708,0,8677620.000,0,-,-,-,-,2892.0000,2891.4000,2891.2000,2891.0000,2890.8000,2893.0000,2895.0000,2897.0000,2900.0000,2901.0000,1,2,1,1,1,4,4,1,3,1
SF,IH2003,2019-12-04 09:30:04.300,2892.8000,15708,0,8677620.000,0,-,-,-,-,2892.0000,2891.4000,2891.2000,2891.0000,2890.8000,2892.6000,2893.0000,2895.0000,2897.0000,2900.0000,1,2,1,1,1,2,4,4,1,3
