市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2006,2020-03-02 09:29:00.200,2822.2000,14874,0,19473180.000,23.000,-,-,-,-,2822.0000,2821.0000,2820.6000,2820.0000,2819.4000,2825.0000,2826.0000,2828.0000,2829.0000,2829.8000,1,1,1,1,1,3,1,1,1,1
SF,IH2006,2020-03-02 09:30:00.200,2825.2000,14871,-3,26254740.000,8,2,6,多平,S,2825.2000,2825.0000,2824.4000,2823.6000,2823.0000,2829.0000,2829.8000,2830.0000,2834.8000,2835.8000,1,12,1,1,1,1,1,1,1,1
SF,IH2006,2020-03-02 09:30:00.700,2829.8000,14867,-4,31346880.000,6,1,5,多平,S,2829.0000,2826.0000,2825.6000,2825.4000,2825.2000,2830.0000,2834.8000,2835.8000,2837.4000,2838.0000,4,1,2,5,1,1,1,1,2,1
SF,IH2006,2020-03-02 09:30:01.200,2829.0000,14862,-5,38137080.000,8,1,7,多平,S,2825.6000,2825.4000,2825.0000,2822.4000,2822.2000,2828.0000,2829.8000,2831.8000,2834.8000,2835.8000,2,4,12,1,1,1,1,1,1,1
SF,IH2006,2020-03-02 09:30:01.700,2828.6000,14860,-2,40682460.000,3,0,3,多平,S,2828.0000,2826.8000,2826.6000,2826.4000,2826.2000,2829.8000,2831.8000,2834.8000,2835.8000,2840.0000,3,1,3,1,11,2,1,1,1,2
SF,IH2006,2020-03-02 09:30:02.200,2828.2000,14859,-1,41530920.000,1,0,1,双平,S,2828.2000,2828.0000,2827.4000,2826.8000,2826.6000,2829.6000,2829.8000,2831.8000,2834.8000,2835.8000,2,1,10,1,3,3,2,1,1,1
SF,IH2006,2020-03-02 09:30:02.700,2829.8000,14859,0,45775440.000,5,2,3,多换,S,2828.8000,2828.4000,2828.2000,2828.0000,2827.4000,2831.8000,2834.8000,2835.8000,2836.0000,2840.0000,1,2,2,2,10,1,1,1,1,2
SF,IH2006,2020-03-02 09:30:03.200,2829.8000,14859,0,45775440.000,0,-,-,-,-,2829.0000,2828.4000,2828.0000,2827.4000,2826.8000,2831.6000,2831.8000,2834.8000,2835.8000,2836.0000,4,1,3,10,1,1,1,1,1,1
SF,IH2006,2020-03-02 09:30:03.700,2829.2000,14858,-1,46624200.000,1,0,1,双平,S,2829.0000,2828.8000,2828.0000,2826.8000,2826.6000,2831.8000,2834.8000,2835.8000,2836.0000,2840.0000,4,1,3,1,1,1,1,1,1,2
SF,IH2006,2020-03-02 09:30:04.200,2831.6000,14857,-1,49171980.000,3,1,2,多平,S,2831.6000,2829.6000,2829.2000,2829.0000,2828.8000,2834.8000,2835.8000,2836.0000,2840.0000,2840.2000,4,1,1,3,1,1,1,1,2,1
