市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IH2009,2020-01-22 09:29:00.400,3005.0000,1129,0,4507500.000,5.000,-,-,-,-,3005.0000,3001.4000,2998.0000,2992.2000,2988.0000,3005.2000,3010.2000,3019.4000,3058.6000,3065.0000,3,1,1,1,1,1,1,1,1,6
SF,IH2009,2020-01-22 09:30:00.400,3001.4000,1132,3,8112420.000,4,3,1,空开,S,2998.0000,2988.0000,2986.6000,2985.8000,2902.8000,3001.2000,3001.6000,3002.4000,3002.6000,3002.8000,1,1,1,1,1,1,1,1,1,2
SF,IH2009,2020-01-22 09:30:00.900,2998.0000,1132,0,9011820.000,1,0,1,多换,S,2988.0000,2986.6000,2950.2000,2902.8000,2838.0000,3001.0000,3001.2000,3001.6000,3002.4000,3002.6000,1,1,1,1,2,2,1,1,1,1
SF,IH2009,2020-01-22 09:30:01.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2990.6000,2990.4000,2988.0000,2950.2000,2902.8000,3001.0000,3001.2000,3001.6000,3002.4000,3002.6000,5,1,1,1,1,2,1,1,1,1
SF,IH2009,2020-01-22 09:30:01.900,2998.0000,1132,0,9011820.000,0,-,-,-,-,2990.6000,2990.4000,2988.0000,2950.2000,2902.8000,3001.0000,3001.2000,3001.6000,3002.4000,3002.6000,5,1,1,1,1,2,1,1,1,1
SF,IH2009,2020-01-22 09:30:02.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2990.6000,2990.4000,2988.0000,2950.2000,2902.8000,3001.0000,3001.2000,3001.6000,3002.4000,3002.6000,5,1,1,1,1,2,1,1,1,1
SF,IH2009,2020-01-22 09:30:02.900,2998.0000,1132,0,9011820.000,0,-,-,-,-,2990.6000,2990.4000,2988.0000,2950.2000,2902.8000,3001.0000,3001.2000,3001.6000,3002.4000,3002.6000,5,1,1,1,1,2,1,1,1,1
SF,IH2009,2020-01-22 09:30:03.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2990.6000,2990.4000,2988.0000,2950.2000,2902.8000,3001.0000,3001.2000,3001.6000,3002.6000,3003.0000,5,1,1,1,1,2,1,1,1,11
SF,IH2009,2020-01-22 09:30:04.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2990.6000,2990.4000,2988.0000,2950.2000,2902.8000,3000.2000,3001.0000,3001.6000,3002.6000,3003.0000,5,1,1,1,1,1,2,1,1,11
SF,IH2009,2020-01-22 09:30:04.900,2998.0000,1132,0,9011820.000,0,-,-,-,-,2992.6000,2990.6000,2990.4000,2988.0000,2950.2000,3000.0000,3000.2000,3001.0000,3001.6000,3002.6000,1,5,1,1,1,3,1,1,1,1
SF,IH2009,2020-01-22 09:30:05.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2992.8000,2992.6000,2992.4000,2990.6000,2990.4000,3000.0000,3000.2000,3001.0000,3001.6000,3002.6000,3,1,1,5,1,1,1,1,1,1
SF,IH2009,2020-01-22 09:30:05.900,2998.0000,1132,0,9011820.000,0,-,-,-,-,2992.8000,2992.6000,2992.4000,2990.6000,2990.4000,3000.0000,3001.0000,3001.6000,3002.6000,3004.2000,3,1,1,5,1,1,1,1,1,1
SF,IH2009,2020-01-22 09:30:06.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2992.8000,2990.6000,2990.4000,2988.0000,2950.2000,3000.0000,3001.0000,3001.6000,3004.6000,3005.8000,3,5,1,1,1,1,1,1,1,5
SF,IH2009,2020-01-22 09:30:07.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2992.8000,2990.6000,2990.4000,2988.0000,2950.2000,3000.0000,3001.0000,3001.6000,3004.6000,3009.6000,3,5,1,1,1,1,1,1,1,5
SF,IH2009,2020-01-22 09:30:07.900,2998.0000,1132,0,9011820.000,0,-,-,-,-,2992.8000,2990.6000,2990.4000,2988.0000,2950.2000,3001.0000,3004.0000,3004.6000,3009.6000,3019.4000,3,5,1,1,1,1,1,1,5,1
SF,IH2009,2020-01-22 09:30:08.400,2998.0000,1132,0,9011820.000,0,-,-,-,-,2996.0000,2992.8000,2990.6000,2988.0000,2950.2000,2999.8000,3001.0000,3004.0000,3004.6000,3009.6000,1,3,5,1,1,1,1,1,1,5
SF,IH2009,2020-01-22 09:30:08.900,2998.0000,1132,0,9011820.000,0,-,-,-,-,2996.2000,2996.0000,2990.6000,2988.0000,2950.2000,2999.8000,3001.0000,3004.0000,3004.6000,3009.6000,3,1,5,1,1,1,1,1,1,5
