市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IC2009,2020-04-22 09:29:00.300,4970.2000,39926,0,9940400.000,10.000,-,-,-,-,4970.0000,4969.0000,4966.0000,4960.8000,4960.0000,4978.0000,4979.4000,4980.0000,4987.2000,4989.8000,3,1,1,1,8,1,1,4,1,2
SF,IC2009,2020-04-22 09:30:00.300,4968.0000,39928,2,16897400.000,7,4,3,空开,S,4966.0000,4960.8000,4960.0000,4957.2000,4955.8000,4969.6000,4970.0000,4970.2000,4972.4000,4975.0000,1,1,8,1,1,4,5,1,1,3
SF,IC2009,2020-04-22 09:30:00.800,4970.0000,39921,-7,26836000.000,10,1,9,多平,S,4966.2000,4966.0000,4960.8000,4960.0000,4957.2000,4970.0000,4970.2000,4972.6000,4972.8000,4974.2000,1,2,1,8,1,4,1,1,1,2
SF,IC2009,2020-04-22 09:30:01.300,4966.8000,39921,0,27829360.000,1,0,1,多换,S,4966.2000,4966.0000,4960.8000,4960.0000,4958.2000,4967.4000,4968.0000,4968.6000,4969.6000,4969.8000,3,2,1,8,5,1,2,2,3,2
SF,IC2009,2020-04-22 09:30:01.800,4967.4000,39920,-1,28822840.000,1,0,1,双平,S,4966.2000,4966.0000,4960.8000,4960.0000,4958.2000,4968.6000,4969.6000,4969.8000,4970.0000,4970.2000,3,2,1,8,5,2,3,2,6,1
SF,IC2009,2020-04-22 09:30:02.300,4968.0000,39918,-2,33790200.000,5,1,4,多平,S,4966.2000,4966.0000,4960.8000,4960.0000,4958.2000,4968.0000,4968.6000,4969.6000,4969.8000,4970.0000,2,2,1,8,5,1,2,3,1,6
SF,IC2009,2020-04-22 09:30:02.800,4966.4000,39916,-2,35776760.000,2,0,2,双平,S,4966.4000,4966.2000,4966.0000,4960.8000,4960.0000,4969.6000,4970.0000,4970.2000,4972.6000,4972.8000,1,2,2,1,8,3,6,1,1,1
SF,IC2009,2020-04-22 09:30:03.300,4966.4000,39916,0,35776760.000,0,-,-,-,-,4966.6000,4966.4000,4966.2000,4966.0000,4960.8000,4969.0000,4969.4000,4970.0000,4970.2000,4972.8000,2,1,2,2,1,2,1,6,1,1
SF,IC2009,2020-04-22 09:30:03.800,4969.0000,39915,-1,36770560.000,1,0,1,双平,S,4966.8000,4966.6000,4966.2000,4966.0000,4960.8000,4969.0000,4970.0000,4970.2000,4972.8000,4975.0000,2,2,2,2,1,1,6,1,1,3
SF,IC2009,2020-04-22 09:30:04.300,4967.0000,39912,-3,40744160.000,4,0,4,多平,S,4967.0000,4966.8000,4966.6000,4966.2000,4966.0000,4968.0000,4968.8000,4969.0000,4970.0000,4970.2000,1,4,1,2,2,1,1,1,6,1
SF,IC2009,2020-04-22 09:30:04.800,4966.8000,39911,-1,41737520.000,1,0,1,双平,S,4966.8000,4966.2000,4966.0000,4960.8000,4960.0000,4967.0000,4968.0000,4968.8000,4969.0000,4970.0000,3,2,2,1,8,1,1,1,1,6
SF,IC2009,2020-04-22 09:30:05.300,4970.0000,39900,-11,55649560.000,14,1,13,多平,S,4967.2000,4967.0000,4966.0000,4960.8000,4960.0000,4970.2000,4972.8000,4975.0000,4976.4000,4977.8000,1,1,2,1,8,1,1,3,5,1
SF,IC2009,2020-04-22 09:30:05.800,4967.4000,39899,-1,56643040.000,1,0,1,双平,S,4967.4000,4967.2000,4967.0000,4966.0000,4960.8000,4968.6000,4969.2000,4970.0000,4970.2000,4970.4000,1,1,1,2,1,2,1,5,1,1
SF,IC2009,2020-04-22 09:30:06.300,4967.4000,39899,0,56643040.000,0,-,-,-,-,4968.6000,4967.4000,4967.2000,4967.0000,4966.0000,4969.2000,4970.0000,4970.2000,4970.4000,4972.8000,1,1,1,1,2,1,2,1,1,1
SF,IC2009,2020-04-22 09:30:06.800,4968.6000,39898,-1,57636760.000,1,0,1,双平,S,4967.4000,4967.2000,4967.0000,4966.0000,4960.8000,4969.2000,4970.0000,4970.2000,4972.8000,4975.0000,1,1,1,2,1,1,1,1,1,3
SF,IC2009,2020-04-22 09:30:07.800,4968.6000,39898,0,57636760.000,0,-,-,-,-,4967.6000,4967.4000,4967.2000,4967.0000,4966.0000,4969.2000,4970.0000,4970.2000,4972.8000,4975.0000,1,1,1,1,2,1,1,1,1,3
SF,IC2009,2020-04-22 09:30:08.300,4969.2000,39896,-2,59624440.000,2,0,2,双平,S,4967.8000,4967.6000,4967.2000,4967.0000,4966.0000,4970.0000,4970.2000,4972.8000,4975.0000,4976.4000,2,5,1,1,2,1,1,1,3,5
SF,IC2009,2020-04-22 09:30:08.800,4968.0000,39895,-1,60618040.000,1,0,1,双平,S,4967.8000,4967.6000,4967.2000,4967.0000,4966.0000,4970.2000,4972.8000,4975.0000,4976.4000,4977.8000,3,4,1,2,2,1,1,3,5,1
SF,IC2009,2020-04-22 09:30:09.300,4968.0000,39895,0,60618040.000,0,-,-,-,-,4968.6000,4967.8000,4967.6000,4967.2000,4967.0000,4970.2000,4972.8000,4975.0000,4976.4000,4977.8000,1,3,4,1,2,1,1,3,5,1
SF,IC2009,2020-04-22 09:30:09.800,4970.2000,39895,0,61612080.000,1,0,1,多换,S,4968.8000,4968.6000,4968.0000,4967.8000,4967.6000,4972.8000,4975.0000,4976.4000,4977.8000,4978.0000,1,1,1,2,4,1,3,5,1,2
SF,IC2009,2020-04-22 09:30:10.300,4970.2000,39895,0,61612080.000,0,-,-,-,-,4970.2000,4968.8000,4968.0000,4967.8000,4967.6000,4972.6000,4972.8000,4975.0000,4976.4000,4977.8000,3,1,1,2,4,3,2,3,5,1
SF,IC2009,2020-04-22 09:30:10.800,4970.2000,39892,-3,64594200.000,3,0,3,双平,S,4968.8000,4968.0000,4967.8000,4967.6000,4967.2000,4972.2000,4972.4000,4972.6000,4972.8000,4975.0000,1,1,2,4,1,3,1,3,2,3
SF,IC2009,2020-04-22 09:30:11.300,4970.2000,39892,0,64594200.000,0,-,-,-,-,4970.2000,4969.0000,4968.8000,4968.0000,4967.8000,4971.2000,4972.0000,4972.2000,4972.6000,4972.8000,2,2,1,1,1,2,4,3,1,2
SF,IC2009,2020-04-22 09:30:11.800,4969.0000,39889,-3,67576080.000,3,0,3,双平,S,4969.0000,4968.8000,4968.0000,4967.8000,4967.6000,4970.2000,4971.0000,4971.2000,4972.0000,4972.6000,1,1,1,1,4,2,4,2,2,1
SF,IC2009,2020-04-22 09:30:12.300,4969.0000,39888,-1,69563680.000,2,0,2,多平,S,4968.0000,4967.8000,4967.6000,4967.2000,4967.0000,4969.8000,4970.0000,4970.2000,4971.2000,4972.0000,1,1,4,1,2,3,1,2,2,2
SF,IC2009,2020-04-22 09:30:12.800,4969.6000,39887,-1,70557600.000,1,0,1,双平,S,4968.2000,4968.0000,4967.8000,4967.6000,4967.2000,4969.6000,4969.8000,4970.2000,4971.2000,4972.0000,1,1,1,4,1,1,3,2,2,2
SF,IC2009,2020-04-22 09:30:13.300,4969.8000,39885,-2,72545480.000,2,0,2,双平,S,4968.2000,4968.0000,4967.8000,4967.6000,4967.2000,4969.8000,4970.2000,4971.2000,4972.0000,4972.6000,1,1,1,4,1,2,4,2,2,1
SF,IC2009,2020-04-22 09:30:13.800,4968.4000,39883,-2,74533120.000,2,0,2,双平,S,4968.2000,4968.0000,4967.8000,4967.6000,4967.2000,4968.6000,4969.8000,4970.2000,4972.0000,4972.6000,1,1,1,4,1,2,2,4,2,1
SF,IC2009,2020-04-22 09:30:14.300,4969.8000,39880,-3,77514520.000,3,0,3,双平,S,4968.2000,4968.0000,4967.8000,4967.6000,4967.2000,4969.8000,4970.2000,4972.0000,4972.6000,4972.8000,1,1,1,4,1,1,4,2,1,2
SF,IC2009,2020-04-22 09:30:14.800,4969.8000,39879,-1,78508480.000,1,0,1,双平,S,4969.8000,4969.6000,4968.4000,4968.2000,4968.0000,4970.2000,4972.0000,4972.6000,4972.8000,4975.0000,2,14,1,1,1,4,2,1,2,3
SF,IC2009,2020-04-22 09:30:15.300,4970.4000,39873,-6,84472760.000,6,0,6,双平,S,4969.8000,4969.6000,4968.4000,4968.2000,4968.0000,4970.0000,4972.0000,4972.6000,4972.8000,4975.0000,3,14,1,1,1,1,2,1,2,3
SF,IC2009,2020-04-22 09:30:15.800,4970.0000,39873,0,85466760.000,1,0,1,多换,S,4970.0000,4969.8000,4969.6000,4968.8000,4968.4000,4972.0000,4972.6000,4972.8000,4975.0000,4976.4000,2,1,14,1,1,2,1,2,3,5
SF,IC2009,2020-04-22 09:30:16.300,4970.0000,39873,0,85466760.000,0,-,-,-,-,4970.0000,4969.8000,4969.6000,4968.8000,4968.4000,4972.0000,4972.6000,4972.8000,4975.0000,4976.4000,2,1,14,1,1,1,1,2,3,5
SF,IC2009,2020-04-22 09:30:16.800,4970.2000,39870,-3,88449520.000,3,0,3,双平,S,4969.8000,4969.6000,4968.8000,4968.2000,4968.0000,4972.0000,4972.6000,4972.8000,4975.0000,4976.4000,1,15,1,1,1,1,1,2,3,5
SF,IC2009,2020-04-22 09:30:17.300,4970.0000,39869,-1,89443520.000,1,0,1,双平,S,4969.8000,4969.6000,4968.8000,4968.2000,4968.0000,4971.8000,4972.0000,4972.6000,4972.8000,4975.0000,1,15,1,1,1,1,1,1,2,3
SF,IC2009,2020-04-22 09:30:17.800,4970.0000,39869,0,89443520.000,0,-,-,-,-,4969.8000,4969.6000,4968.2000,4968.0000,4967.8000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,1,15,1,1,1,2,1,1,2,3
SF,IC2009,2020-04-22 09:30:18.300,4969.8000,39869,0,90437480.000,1,0,1,多换,S,4969.6000,4968.2000,4968.0000,4967.8000,4967.6000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,15,1,1,1,4,2,1,1,2,3
SF,IC2009,2020-04-22 09:30:18.800,4969.8000,39869,0,90437480.000,0,-,-,-,-,4969.8000,4969.6000,4968.2000,4968.0000,4967.8000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,1,15,1,1,1,2,1,1,2,3
SF,IC2009,2020-04-22 09:30:19.300,4969.8000,39869,0,90437480.000,0,-,-,-,-,4970.4000,4969.8000,4969.6000,4968.2000,4968.0000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,4,1,15,1,1,2,1,1,2,3
SF,IC2009,2020-04-22 09:30:19.800,4969.8000,39869,0,91431440.000,1,0,1,多换,S,4970.4000,4970.2000,4969.8000,4969.6000,4968.2000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,3,1,1,15,1,1,1,1,2,2
SF,IC2009,2020-04-22 09:30:20.300,4970.4000,39869,0,92425520.000,1,0,1,多换,S,4970.4000,4970.2000,4969.8000,4969.6000,4968.2000,4971.4000,4971.6000,4971.8000,4972.6000,4972.8000,2,1,1,15,1,1,1,1,1,2
SF,IC2009,2020-04-22 09:30:20.800,4970.4000,39869,0,92425520.000,0,-,-,-,-,4970.4000,4969.8000,4969.6000,4968.2000,4968.0000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,2,1,15,1,1,1,1,1,2,2
SF,IC2009,2020-04-22 09:30:21.300,4970.4000,39869,0,92425520.000,0,-,-,-,-,4970.4000,4969.8000,4969.6000,4968.2000,4968.0000,4971.6000,4971.8000,4972.6000,4972.8000,4975.0000,2,1,15,1,1,1,1,1,2,2
SF,IC2009,2020-04-22 09:30:21.800,4971.6000,39868,-1,93419840.000,1,0,1,双平,S,4970.4000,4969.8000,4969.6000,4968.2000,4968.0000,4971.8000,4972.6000,4972.8000,4975.0000,4976.4000,2,1,15,1,1,1,1,2,2,5
SF,IC2009,2020-04-22 09:30:22.800,4970.4000,39864,-4,99384320.000,6,1,5,多平,S,4971.6000,4969.8000,4969.6000,4968.2000,4968.0000,4971.8000,4972.6000,4972.8000,4975.0000,4976.4000,2,1,15,1,1,1,1,2,2,5
SF,IC2009,2020-04-22 09:30:23.300,4971.6000,39862,-2,101372960.000,2,0,2,双平,S,4970.0000,4969.8000,4969.6000,4968.2000,4968.0000,4970.4000,4971.2000,4971.4000,4972.6000,4972.8000,1,1,15,1,1,15,1,5,1,2
SF,IC2009,2020-04-22 09:30:23.800,4970.4000,39853,-9,110319800.000,9,0,9,双平,S,4970.0000,4969.8000,4969.6000,4968.2000,4968.0000,4970.4000,4972.6000,4972.8000,4975.0000,4976.4000,1,1,15,1,1,6,1,2,2,5
SF,IC2009,2020-04-22 09:30:24.300,4970.4000,39847,-6,116284280.000,6,0,6,双平,S,4970.0000,4969.8000,4969.6000,4968.2000,4968.0000,4972.6000,4972.8000,4975.0000,4976.4000,4978.0000,1,1,15,1,1,1,2,2,5,2
SF,IC2009,2020-04-22 09:30:24.800,4970.4000,39847,0,116284280.000,0,-,-,-,-,4970.2000,4970.0000,4969.6000,4968.2000,4968.0000,4971.2000,4972.4000,4972.6000,4972.8000,4975.0000,1,1,15,1,1,1,3,1,2,2
SF,IC2009,2020-04-22 09:30:25.300,4970.4000,39847,0,116284280.000,0,-,-,-,-,4971.0000,4970.2000,4970.0000,4969.6000,4968.0000,4972.2000,4972.4000,4972.6000,4972.8000,4975.0000,1,1,1,15,1,1,3,1,2,2
SF,IC2009,2020-04-22 09:30:25.800,4971.0000,39846,-1,117278480.000,1,0,1,双平,S,4970.2000,4970.0000,4969.6000,4968.0000,4967.2000,4972.0000,4972.2000,4972.4000,4972.6000,4972.8000,1,1,15,1,1,1,1,1,1,2
SF,IC2009,2020-04-22 09:30:26.300,4971.2000,39845,-1,118272720.000,1,0,1,双平,S,4970.4000,4970.2000,4970.0000,4969.6000,4968.0000,4972.0000,4972.2000,4972.4000,4972.6000,4972.8000,1,1,1,15,1,1,1,1,1,2
SF,IC2009,2020-04-22 09:30:26.800,4971.2000,39845,0,118272720.000,0,-,-,-,-,4970.6000,4970.4000,4970.0000,4969.6000,4968.0000,4971.0000,4972.0000,4972.4000,4972.6000,4972.8000,1,1,1,15,1,6,1,1,1,2
SF,IC2009,2020-04-22 09:30:27.300,4971.0000,39843,-2,120261120.000,2,0,2,双平,S,4970.6000,4970.4000,4970.0000,4969.6000,4968.0000,4971.0000,4972.0000,4972.4000,4972.6000,4972.8000,1,1,1,15,1,4,1,1,1,2
SF,IC2009,2020-04-22 09:30:27.800,4970.6000,39838,-5,125231840.000,5,0,5,双平,S,4970.0000,4969.6000,4968.0000,4967.2000,4967.0000,4971.0000,4972.0000,4972.4000,4972.6000,4972.8000,1,15,1,1,3,4,1,1,1,2
SF,IC2009,2020-04-22 09:30:28.300,4970.6000,39838,0,125231840.000,0,-,-,-,-,4970.2000,4970.0000,4969.6000,4968.0000,4967.2000,4971.0000,4972.0000,4972.4000,4972.6000,4972.8000,1,1,15,1,1,4,1,1,1,2
SF,IC2009,2020-04-22 09:30:28.800,4970.0000,39837,-1,127219880.000,2,0,2,多平,S,4969.6000,4968.0000,4967.2000,4967.0000,4966.8000,4971.0000,4972.0000,4972.4000,4972.6000,4972.8000,15,1,1,3,1,4,1,1,1,2
SF,IC2009,2020-04-22 09:30:29.300,4970.0000,39837,0,127219880.000,0,-,-,-,-,4969.6000,4968.0000,4967.2000,4967.0000,4966.8000,4971.0000,4972.0000,4972.2000,4972.4000,4972.6000,15,1,1,3,1,4,1,1,1,1
SF,IC2009,2020-04-22 09:30:29.800,4970.8000,39836,-1,128214040.000,1,0,1,双平,S,4969.6000,4968.0000,4967.2000,4967.0000,4966.8000,4971.0000,4972.0000,4972.2000,4972.4000,4972.6000,15,1,1,3,1,4,1,1,1,1
SF,IC2009,2020-04-22 09:30:30.300,4971.0000,39835,-1,129208240.000,1,0,1,双平,S,4970.6000,4969.6000,4968.0000,4967.2000,4967.0000,4971.0000,4972.0000,4972.2000,4972.4000,4972.6000,1,15,1,1,3,3,1,1,1,1
