市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IC2006,2019-11-29 09:29:00.100,4654.6000,17937,0,930920.000,1.000,-,-,-,-,4654.6000,4651.2000,4650.4000,4646.0000,4645.0000,4656.0000,4656.8000,4657.6000,4658.0000,4660.6000,1,1,1,1,1,5,2,3,1,1
SF,IC2006,2019-11-29 09:30:00.100,4654.6000,17937,0,1861840.000,1,0,1,多换,S,4650.4000,4646.0000,4645.0000,4644.0000,4643.0000,4650.6000,4654.0000,4654.2000,4654.4000,4654.6000,1,1,1,1,1,1,1,2,1,2
SF,IC2006,2019-11-29 09:30:00.600,4650.4000,17938,1,5582160.000,4,2,2,空开,S,4646.0000,4645.0000,4644.0000,4643.0000,4642.0000,4650.4000,4654.0000,4654.2000,4654.4000,4654.6000,1,1,1,1,2,3,1,3,1,2
SF,IC2006,2019-11-29 09:30:01.100,4650.4000,17934,-4,9302480.000,4,0,4,双平,S,4648.8000,4646.4000,4646.2000,4646.0000,4645.0000,4654.0000,4654.2000,4654.4000,4654.6000,4655.0000,2,1,1,1,1,1,1,1,1,3
SF,IC2006,2019-11-29 09:30:01.600,4650.2000,17930,-4,13022120.000,4,0,4,双平,S,4648.8000,4647.6000,4646.4000,4646.0000,4645.0000,4653.8000,4654.0000,4654.2000,4654.4000,4655.0000,1,1,1,1,1,1,1,1,1,3
SF,IC2006,2019-11-29 09:30:02.100,4650.2000,17930,0,13022120.000,0,-,-,-,-,4649.6000,4649.2000,4649.0000,4648.8000,4647.6000,4653.8000,4654.2000,4655.0000,4656.0000,4656.8000,1,1,1,1,1,2,1,3,5,2
SF,IC2006,2019-11-29 09:30:02.600,4649.6000,17928,-2,14882000.000,2,0,2,双平,S,4649.6000,4649.4000,4649.2000,4648.8000,4646.0000,4652.8000,4653.8000,4654.2000,4655.0000,4656.0000,1,1,2,1,1,1,1,1,3,5
SF,IC2006,2019-11-29 09:30:03.100,4649.6000,17927,-1,15811920.000,1,0,1,双平,S,4649.6000,4649.4000,4649.2000,4648.8000,4646.0000,4652.6000,4654.2000,4655.0000,4656.0000,4656.8000,1,1,2,1,1,1,1,3,5,2
SF,IC2006,2019-11-29 09:30:03.600,4649.6000,17926,-1,16741840.000,1,0,1,双平,S,4650.2000,4650.0000,4649.2000,4648.8000,4646.0000,4652.6000,4655.0000,4656.0000,4656.8000,4657.6000,1,1,2,1,1,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:04.100,4649.6000,17926,0,16741840.000,0,-,-,-,-,4650.4000,4650.2000,4650.0000,4649.8000,4649.2000,4652.4000,4652.6000,4655.0000,4656.0000,4656.8000,1,1,2,1,1,1,1,3,5,2
SF,IC2006,2019-11-29 09:30:04.600,4649.6000,17926,0,16741840.000,0,-,-,-,-,4650.6000,4650.4000,4650.2000,4649.8000,4649.2000,4652.4000,4655.0000,4656.0000,4656.8000,4657.6000,2,1,1,1,1,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:05.100,4649.6000,17926,0,16741840.000,0,-,-,-,-,4650.8000,4650.6000,4650.2000,4649.8000,4648.8000,4652.4000,4655.0000,4656.0000,4656.8000,4657.6000,2,3,1,1,1,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:05.600,4649.6000,17926,0,16741840.000,0,-,-,-,-,4650.8000,4650.6000,4650.2000,4649.8000,4648.8000,4652.4000,4655.0000,4656.0000,4656.8000,4657.6000,2,2,1,1,1,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:06.600,4649.6000,17926,0,16741840.000,0,-,-,-,-,4650.8000,4650.2000,4649.8000,4649.4000,4649.0000,4652.4000,4655.0000,4656.0000,4656.8000,4657.6000,2,1,1,2,1,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:07.100,4649.6000,17926,0,16741840.000,0,-,-,-,-,4651.2000,4651.0000,4650.8000,4649.8000,4649.4000,4652.4000,4655.0000,4656.0000,4656.8000,4657.6000,1,1,2,1,2,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:07.600,4649.6000,17926,0,16741840.000,0,-,-,-,-,4651.4000,4651.2000,4651.0000,4650.8000,4649.8000,4652.4000,4655.0000,4656.0000,4656.8000,4657.6000,1,1,1,1,1,1,3,5,2,3
SF,IC2006,2019-11-29 09:30:08.100,4652.4000,17926,0,17672320.000,1,0,1,多换,S,4651.4000,4651.2000,4651.0000,4650.8000,4649.8000,4655.0000,4656.0000,4656.8000,4657.6000,4658.0000,1,1,2,1,1,3,5,2,3,1
SF,IC2006,2019-11-29 09:30:08.600,4652.4000,17926,0,17672320.000,0,-,-,-,-,4651.6000,4651.4000,4651.0000,4650.8000,4649.8000,4654.8000,4655.0000,4655.2000,4656.0000,4656.8000,1,1,2,1,1,1,3,1,5,2
SF,IC2006,2019-11-29 09:30:09.100,4652.4000,17926,0,17672320.000,0,-,-,-,-,4651.8000,4651.0000,4650.8000,4649.8000,4649.4000,4653.8000,4654.8000,4655.0000,4655.2000,4656.0000,2,2,1,1,2,1,1,3,1,5
SF,IC2006,2019-11-29 09:30:09.600,4652.4000,17926,0,17672320.000,0,-,-,-,-,4652.0000,4651.0000,4650.8000,4649.8000,4649.4000,4653.6000,4653.8000,4655.0000,4655.2000,4656.0000,1,2,1,1,2,1,1,3,1,5
