市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SF,IF2009,2020-06-08 09:29:00.100,3877.0000,27705,0,18609600.000,16.000,-,-,-,-,3877.0000,3871.6000,3870.8000,3870.2000,3870.0000,3878.0000,3880.0000,3882.4000,3885.0000,3886.0000,4,1,2,1,1,9,1,7,1,1
SF,IF2009,2020-06-08 09:30:00.100,3881.0000,27703,-2,40726260.000,19,8,11,多平,S,3880.8000,3880.4000,3880.2000,3879.6000,3879.4000,3885.0000,3886.0000,3887.8000,3888.0000,3888.4000,1,1,3,1,3,1,1,1,11,2
SF,IF2009,2020-06-08 09:30:00.600,3884.0000,27701,-2,47716140.000,6,2,4,多平,S,3881.0000,3880.8000,3880.4000,3880.2000,3880.0000,3884.2000,3884.8000,3885.0000,3886.0000,3887.0000,1,5,1,4,1,1,7,1,1,1
SF,IF2009,2020-06-08 09:30:01.100,3884.2000,27700,-1,48881400.000,1,0,1,双平,S,3883.6000,3882.8000,3881.6000,3881.2000,3881.0000,3884.0000,3885.0000,3886.0000,3887.0000,3887.8000,1,5,2,9,4,4,1,1,1,1
SF,IF2009,2020-06-08 09:30:01.600,3885.0000,27696,-4,54707700.000,5,0,5,多平,S,3885.2000,3885.0000,3884.8000,3884.6000,3884.0000,3886.0000,3887.0000,3887.8000,3888.0000,3888.4000,1,1,1,1,1,1,1,1,8,2
SF,IF2009,2020-06-08 09:30:02.100,3885.4000,27691,-5,60535800.000,5,0,5,双平,S,3885.4000,3885.2000,3884.4000,3884.2000,3884.0000,3885.8000,3886.0000,3887.0000,3887.8000,3888.0000,1,2,1,23,1,1,1,1,1,8
SF,IF2009,2020-06-08 09:30:02.600,3886.0000,27689,-2,62867340.000,2,0,2,双平,S,3885.6000,3885.4000,3885.2000,3884.4000,3884.2000,3886.0000,3887.0000,3887.8000,3888.0000,3888.4000,4,3,1,1,23,1,1,1,8,2
SF,IF2009,2020-06-08 09:30:03.100,3886.4000,27688,-1,66365160.000,3,1,2,多平,S,3886.4000,3886.2000,3886.0000,3885.8000,3885.6000,3887.8000,3888.0000,3888.4000,3888.6000,3888.8000,3,3,29,5,1,1,8,2,1,3
SF,IF2009,2020-06-08 09:30:03.600,3886.6000,27684,-4,71029440.000,4,0,4,双平,S,3886.4000,3886.0000,3885.2000,3885.0000,3884.2000,3887.8000,3888.0000,3888.4000,3888.6000,3888.8000,2,31,1,2,2,1,8,2,1,3
SF,IF2009,2020-06-08 09:30:04.100,3887.6000,27682,-2,73362000.000,2,0,2,双平,S,3886.6000,3886.4000,3886.0000,3885.0000,3884.2000,3887.6000,3887.8000,3888.0000,3888.4000,3888.6000,1,2,23,2,2,1,2,8,2,1
